지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
106,동해,2017-01-01,7.1,,1.6,48.5
106,동해,2017-01-02,10,,2.8,46.9
106,동해,2017-01-03,8.2,,2.6,37.1
106,동해,2017-01-04,7.7,,3.3,46.9
106,동해,2017-01-05,4,25.4,1.4,90
106,동해,2017-01-06,5.6,2.8,1.6,86.8
106,동해,2017-01-07,6.6,,1.6,72.5
106,동해,2017-01-08,7.7,2.2,1.9,82.8
106,동해,2017-01-09,7.3,,2.8,50.1
106,동해,2017-01-10,3,,3.3,31.8
106,동해,2017-01-11,.9,,3.7,23.8
106,동해,2017-01-12,3.4,,3.3,29
106,동해,2017-01-13,-.2,,3.9,33
106,동해,2017-01-14,-3.7,,4.2,26.9
106,동해,2017-01-15,.2,,2.8,25.4
106,동해,2017-01-16,1.8,,3.2,50.1
106,동해,2017-01-17,3.2,,1.8,41.4
106,동해,2017-01-18,4.5,,2,40.4
106,동해,2017-01-19,3.8,,1.6,53.1
106,동해,2017-01-20,1.5,1.8,2.8,65
106,동해,2017-01-21,-.3,0,2.3,55
106,동해,2017-01-22,-2,0,3.5,39.6
106,동해,2017-01-23,-3,,3.4,33
106,동해,2017-01-24,-1.1,,2.9,32.4
106,동해,2017-01-25,.5,,2,35.1
106,동해,2017-01-26,4.5,,2.3,35.4
106,동해,2017-01-27,5.8,0,3.8,32
106,동해,2017-01-28,4.1,,1.6,47.9
106,동해,2017-01-29,6,2.5,1.4,63.8
106,동해,2017-01-30,2,.2,2.9,75.9
106,동해,2017-01-31,1,,1.7,46.6
106,동해,2017-02-01,2.4,,4.3,32.5
106,동해,2017-02-02,5.1,,3.8,22.5
106,동해,2017-02-03,6.6,,2.1,34.1
106,동해,2017-02-04,8.3,,1.9,39.3
106,동해,2017-02-05,8.1,0,2.6,47.6
106,동해,2017-02-06,3.8,,4.3,43.9
106,동해,2017-02-07,3.8,,1.9,51.1
106,동해,2017-02-08,4.4,,1.9,45.5
106,동해,2017-02-09,1.1,0,3.8,35.9
106,동해,2017-02-10,-2,,4,34.9
106,동해,2017-02-11,-.4,,3.3,33.6
106,동해,2017-02-12,2,,2.2,43.1
106,동해,2017-02-13,4,,2.4,35.4
106,동해,2017-02-14,3.6,,1.9,60.5
106,동해,2017-02-15,7.7,,1.7,37.8
106,동해,2017-02-16,13.4,,2.1,34.5
106,동해,2017-02-17,8.8,0,3.7,64.9
106,동해,2017-02-18,3.7,,3,27.1
106,동해,2017-02-19,6.2,,1.7,43
106,동해,2017-02-20,6.8,0,4.1,46.1
106,동해,2017-02-21,3.6,,1.9,51
106,동해,2017-02-22,6,5.5,1.1,68.9
106,동해,2017-02-23,5.5,.2,3.7,48.8
106,동해,2017-02-24,3.5,,2.9,37.6
106,동해,2017-02-25,6.6,,2.8,34.1
106,동해,2017-02-26,5.5,,2.4,51
106,동해,2017-02-27,5.2,,2.8,72.3
106,동해,2017-02-28,7.9,,2.1,48.4
106,동해,2017-03-01,9.9,0,2,53.1
106,동해,2017-03-02,4.9,11,2.1,87.8
106,동해,2017-03-03,7.6,,1.9,45.3
106,동해,2017-03-04,8.3,,1.6,53.6
106,동해,2017-03-05,8.1,0,1.4,65.5
106,동해,2017-03-06,5.2,,4.4,49.6
106,동해,2017-03-07,2.7,,3.2,32.4
106,동해,2017-03-08,3.9,,5,33.9
106,동해,2017-03-09,7.4,,4.1,31.4
106,동해,2017-03-10,6.8,,2.5,38.8
106,동해,2017-03-11,8.7,,2,44.6
106,동해,2017-03-12,11.9,,1.8,43
106,동해,2017-03-13,8.5,,3.4,56.6
106,동해,2017-03-14,4.7,8.1,2.6,78.9
106,동해,2017-03-15,6.2,,3.1,57.3
106,동해,2017-03-16,7.3,,1.8,64.5
106,동해,2017-03-17,8.5,,2.5,56.3
106,동해,2017-03-18,11.9,,1.7,37.6
106,동해,2017-03-19,11,,2,54.4
106,동해,2017-03-20,11.6,,2,44.3
106,동해,2017-03-21,7.4,12.6,2.7,67.9
106,동해,2017-03-22,8.3,,1.7,59
106,동해,2017-03-23,9.2,0,2.6,60.6
106,동해,2017-03-24,8.2,0,2.1,65.6
106,동해,2017-03-25,7.9,1.3,2.8,73
106,동해,2017-03-26,7.4,2.6,1.9,83.9
106,동해,2017-03-27,8.2,0,1.9,64.1
106,동해,2017-03-28,9.6,,1.9,56.4
106,동해,2017-03-29,11.2,,1.9,48.6
106,동해,2017-03-30,12.6,,2.4,52.4
106,동해,2017-03-31,8.8,5.2,1.8,81.3
106,동해,2017-04-01,7.4,6.4,1.4,86.9
106,동해,2017-04-02,9.7,3.8,2.3,68.8
106,동해,2017-04-03,16.1,,3.2,41.5
106,동해,2017-04-04,15.5,,1.8,47.6
106,동해,2017-04-05,15.4,1.2,1.8,55.8
106,동해,2017-04-06,15.8,1,1.5,74.3
106,동해,2017-04-07,14.7,,1.6,72.4
106,동해,2017-04-08,14.5,,1.1,79.4
106,동해,2017-04-09,12,2.1,2.1,61.6
106,동해,2017-04-10,10.9,,2.3,61.8
106,동해,2017-04-11,11.5,8.8,1.2,82.1
106,동해,2017-04-12,12.8,0,3.3,55.5
106,동해,2017-04-13,14.8,,2.8,36.6
106,동해,2017-04-14,18.3,0,3.3,34.4
106,동해,2017-04-15,21.5,,3.6,36.4
106,동해,2017-04-16,22.3,,2.2,37.9
106,동해,2017-04-17,14.7,18.4,3.4,76.5
106,동해,2017-04-18,14.2,2.7,2.7,77.4
106,동해,2017-04-19,14.2,,4.1,49.8
106,동해,2017-04-20,14.1,,1.4,60.3
106,동해,2017-04-21,13.6,,2.3,64
106,동해,2017-04-22,12.8,.6,2,69.5
106,동해,2017-04-23,16.5,,2.3,50
106,동해,2017-04-24,18,,2.1,44.9
106,동해,2017-04-25,19,,2.5,48.8
106,동해,2017-04-26,14.2,.1,2.4,57.3
106,동해,2017-04-27,13.4,,2.4,47.9
106,동해,2017-04-28,19.9,,3.9,27.1
106,동해,2017-04-29,18,,2.8,46.6
106,동해,2017-04-30,22.2,,4.4,46.4
106,동해,2017-05-01,15.9,,1.8,64.1
106,동해,2017-05-02,14.7,,2.2,68.5
106,동해,2017-05-03,15.9,,1.6,73.4
106,동해,2017-05-04,17.7,,1.2,65.1
106,동해,2017-05-05,21.5,,2,53.5
106,동해,2017-05-06,18.6,,3.8,32.5
106,동해,2017-05-07,20.4,,2.7,22.5
106,동해,2017-05-08,23.5,,3.4,27
106,동해,2017-05-09,15.4,1.7,1.8,83.1
106,동해,2017-05-10,14.5,1.3,1.7,91.5
106,동해,2017-05-11,21.6,,1.7,53.4
106,동해,2017-05-12,21.9,,1.9,53
106,동해,2017-05-13,16.7,2,2.4,76.9
106,동해,2017-05-14,19.6,,3.3,34.3
106,동해,2017-05-15,18,,2.9,53.4
106,동해,2017-05-16,16.3,,1.1,76.4
