지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
98,동두천,2017-01-01,1.8,,.6,76.3
98,동두천,2017-01-02,4.5,0,1.3,76.9
98,동두천,2017-01-03,.7,,1.2,66.5
98,동두천,2017-01-04,2.5,,1,62.1
98,동두천,2017-01-05,2.7,,1.3,60.1
98,동두천,2017-01-06,4.2,,1,61.6
98,동두천,2017-01-07,2.5,,1.1,70.1
98,동두천,2017-01-08,5.8,.2,1.7,65.3
98,동두천,2017-01-09,1.9,0,2.8,57.6
98,동두천,2017-01-10,-3.7,,2.4,46.8
98,동두천,2017-01-11,-4.4,,1.7,38.1
98,동두천,2017-01-12,-3.2,0,2.4,44.4
98,동두천,2017-01-13,-6.1,.3,2.6,44.3
98,동두천,2017-01-14,-8.2,,3.3,30.9
98,동두천,2017-01-15,-6.9,,1.3,37.5
98,동두천,2017-01-16,-4.8,,1.1,41.6
98,동두천,2017-01-17,-3.2,,.9,45.9
98,동두천,2017-01-18,-1.8,,1,69
98,동두천,2017-01-19,-2,,1.3,56.5
98,동두천,2017-01-20,-4,2.1,2.5,60.5
98,동두천,2017-01-21,-6,1,1.1,73.6
98,동두천,2017-01-22,-8,.1,3.6,42.6
98,동두천,2017-01-23,-9.2,,1.3,50.3
98,동두천,2017-01-24,-8.1,,1.1,51.6
98,동두천,2017-01-25,-6.6,,1.1,50.4
98,동두천,2017-01-26,-2.4,2.5,2.2,63.3
98,동두천,2017-01-27,-2.3,4.1,3.3,47.4
98,동두천,2017-01-28,-2.9,,1,46.3
98,동두천,2017-01-29,0,5.2,1.2,72
98,동두천,2017-01-30,-5.1,,2.4,63.9
98,동두천,2017-01-31,-6.8,,1,53.9
98,동두천,2017-02-01,-4.4,,2.6,45.6
98,동두천,2017-02-02,-3.6,,1.2,51.5
98,동두천,2017-02-03,-.5,,1,67.1
98,동두천,2017-02-04,-.5,,.7,75.5
98,동두천,2017-02-05,.8,1.2,1.8,74.8
98,동두천,2017-02-06,-1.3,,2.2,48.5
98,동두천,2017-02-07,-2.6,,1.1,49.4
98,동두천,2017-02-08,-2.4,,1.6,52.1
98,동두천,2017-02-09,-4.7,,3.2,43.9
98,동두천,2017-02-10,-6.2,,3.3,39.9
98,동두천,2017-02-11,-4.3,,2.3,40.5
98,동두천,2017-02-12,-2.6,,1.5,50.3
98,동두천,2017-02-13,-1.4,,1.1,57.6
98,동두천,2017-02-14,-.6,,1.4,44.9
98,동두천,2017-02-15,.6,,1.1,51.3
98,동두천,2017-02-16,4.3,1.1,1.4,64
98,동두천,2017-02-17,1.7,4.8,3.6,51
98,동두천,2017-02-18,-2.4,,2.2,47
98,동두천,2017-02-19,1.5,4.2,2.4,63.6
