지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
155,창원,2020-01-01,.3,,2.1,45.4
155,창원,2020-01-02,3.1,,2.1,53
155,창원,2020-01-03,4.1,,2,49.1
155,창원,2020-01-04,4.3,,1.6,38.9
155,창원,2020-01-05,4.1,,1.3,46.9
155,창원,2020-01-06,2.9,10.7,1,76.5
155,창원,2020-01-07,10.2,39,2,90.8
155,창원,2020-01-08,7.4,0,2.3,61.1
155,창원,2020-01-09,4.1,,2.1,51.6
155,창원,2020-01-10,3.2,,1.7,48.9
155,창원,2020-01-11,4.3,,1.8,45
155,창원,2020-01-12,3.4,,2.1,47.3
155,창원,2020-01-13,2.4,,1.4,48.9
155,창원,2020-01-14,1.1,,2.1,40.3
155,창원,2020-01-15,1.2,,2.5,44.3
155,창원,2020-01-16,1.8,,2.1,33.8
155,창원,2020-01-17,3.8,,1.6,34.9
155,창원,2020-01-18,4.4,0,2.6,35.4
155,창원,2020-01-19,4.1,,1.8,42
155,창원,2020-01-20,4.4,,1.4,42.6
155,창원,2020-01-21,2.9,,1.8,44.3
155,창원,2020-01-22,3.6,13.9,1.2,76
155,창원,2020-01-23,5.4,3.2,1.2,88.3
155,창원,2020-01-24,7.6,,1.5,63.9
155,창원,2020-01-25,7.6,,1.2,67.1
155,창원,2020-01-26,7.8,,2.1,64.6
155,창원,2020-01-27,5.9,44.9,3.1,82.3
155,창원,2020-01-28,7.8,0,1.5,67
155,창원,2020-01-29,7.3,.2,.9,64.6
155,창원,2020-01-30,6,.7,.9,59.5
155,창원,2020-01-31,4.6,,1.2,59.4
155,창원,2020-02-01,4.3,,1.7,55.8
155,창원,2020-02-02,4.5,,1.2,60.6
155,창원,2020-02-03,4.1,,2.1,43.5
155,창원,2020-02-04,3.1,,2.1,36.9
155,창원,2020-02-05,-.3,,2.2,30.6
155,창원,2020-02-06,-1.4,,1.9,25.8
155,창원,2020-02-07,2.8,,1.8,33.8
155,창원,2020-02-08,3,,2.3,41.9
155,창원,2020-02-09,2.3,,2.2,40
155,창원,2020-02-10,4.2,,1,56
155,창원,2020-02-11,7,,1.2,58
155,창원,2020-02-12,9.9,32.2,.8,90.4
155,창원,2020-02-13,9.8,,1.3,78.1
155,창원,2020-02-14,10.5,,1.4,66.8
155,창원,2020-02-15,11.3,,1.4,73
155,창원,2020-02-16,5.2,3.4,2.3,61.3
155,창원,2020-02-17,-.7,0,2.2,44.4
155,창원,2020-02-18,0,,2.4,40.3
155,창원,2020-02-19,5,,2,40.4
155,창원,2020-02-20,7.1,,1.4,46.9
155,창원,2020-02-21,8.6,1.8,1.4,62.5
155,창원,2020-02-22,8.5,.2,2.5,41
155,창원,2020-02-23,4.9,,1.6,43.4
155,창원,2020-02-24,8.4,.2,1.4,54.8
155,창원,2020-02-25,8.1,25.8,.9,93.3
155,창원,2020-02-26,9,0,1.6,75.5
155,창원,2020-02-27,5.9,.6,2,66.3
155,창원,2020-02-28,5.1,0,.7,76.8
155,창원,2020-02-29,6.3,,1.8,78.3
155,창원,2020-03-01,8.9,0,1.5,71.4
155,창원,2020-03-02,7.7,,2.1,43.8
155,창원,2020-03-03,7.6,,1.5,62.3
155,창원,2020-03-04,6.4,0,1.9,41
155,창원,2020-03-05,3.3,,2.3,41.4
155,창원,2020-03-06,5.9,,1.8,41.9
155,창원,2020-03-07,6.5,2.3,.8,70.4
155,창원,2020-03-08,9,,1.7,66.5
155,창원,2020-03-09,9.1,9.9,1,78.9
155,창원,2020-03-10,9,11.4,1.5,76.3
155,창원,2020-03-11,6.9,,1.6,33.6
155,창원,2020-03-12,7.7,,1.8,42.6
155,창원,2020-03-13,10.2,,1.8,43.9
