瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
272,康林,2020-01-01,-1,,5.2,61
272,康林,2020-01-02,.7,,4.2,65.6
272,康林,2020-01-03,2,,4.8,52.9
272,康林,2020-01-04,.3,,3.3,61.4
272,康林,2020-01-05,-1.6,,1.4,68.3
272,康林,2020-01-06,.9,5.9,1.1,81.3
272,康林,2020-01-07,6.6,58.4,1.6,100
272,康林,2020-01-08,5.1,2.1,5.5,80
272,康林,2020-01-09,.3,,5.3,65.6
272,康林,2020-01-10,-.2,,2.2,69.4
272,康林,2020-01-11,.3,,3.5,63.5
272,康林,2020-01-12,.3,,5.3,60.3
272,康林,2020-01-13,-1,,4.9,55.5
272,康林,2020-01-14,-1.3,,2.8,50.9
272,康林,2020-01-15,-1.2,,3.7,47.5
272,康林,2020-01-16,-2.4,,1.8,56.1
272,康林,2020-01-17,-1.2,,1.1,63.6
272,康林,2020-01-18,.9,,2.2,55.1
272,康林,2020-01-19,2.2,0,3.9,60.6
272,康林,2020-01-20,1.7,,5.1,55.8
272,康林,2020-01-21,-1.8,,2.3,55.4
272,康林,2020-01-22,1.4,,.7,54.3
272,康林,2020-01-23,3.4,.5,1,84.3
272,康林,2020-01-24,2.8,,1.1,84.9
272,康林,2020-01-25,4,,.9,82.1
272,康林,2020-01-26,3.9,,1.7,76.8
272,康林,2020-01-27,5.7,.6,1.9,66.9
272,康林,2020-01-28,5.6,0,1.5,68.9
272,康林,2020-01-29,2.8,.1,1.2,75.5
272,康林,2020-01-30,2.6,0,1.5,75.3
272,康林,2020-01-31,2.1,,1.9,78.1
272,康林,2020-02-01,2.7,,3.8,64.8
272,康林,2020-02-02,1.5,,2.5,65.1
272,康林,2020-02-03,.9,,5.1,47.8
272,康林,2020-02-04,-.5,,3,54.4
272,康林,2020-02-05,-5.3,.3,5.5,42
272,康林,2020-02-06,-5.5,,1.9,52.5
272,康林,2020-02-07,-2.4,,3.7,57.6
272,康林,2020-02-08,.8,,4.5,52.6
272,康林,2020-02-09,-1.1,,3.2,54.9
272,康林,2020-02-10,3.4,,3.8,54.3
272,康林,2020-02-11,2.8,,1.5,56.8
272,康林,2020-02-12,5.4,20.6,1.1,90
272,康林,2020-02-13,8.5,.3,4.2,75
272,康林,2020-02-14,6.2,,1.4,75
272,康林,2020-02-15,8.3,1.1,1.3,80.4
272,康林,2020-02-16,1.3,3.3,5.7,76.5
272,康林,2020-02-17,-4.6,0,5.7,63.9
272,康林,2020-02-18,-3,,5.4,51.1
272,康林,2020-02-19,1,,2.7,55.3
272,康林,2020-02-20,3.4,,1.7,61
272,康林,2020-02-21,5.3,.1,1.6,62
272,康林,2020-02-22,4.7,2.6,5.7,57.4
272,康林,2020-02-23,2.6,,4.7,44.5
272,康林,2020-02-24,5.3,,2.4,45.5
272,康林,2020-02-25,5.1,31.1,1.2,96.6
272,康林,2020-02-26,5.7,0,1.4,83.6
272,康林,2020-02-27,3,.5,1.2,81.6
272,康林,2020-02-28,1.5,2.2,.6,94.8
272,康林,2020-02-29,5.2,,1.3,85.4
272,康林,2020-03-01,7.3,,1.4,78.1
272,康林,2020-03-02,4.3,.1,4.4,59.6
272,康林,2020-03-03,5.3,,1.6,71.4
272,康林,2020-03-04,3.1,0,5.9,56.4
272,康林,2020-03-05,1.7,,4.2,48.6
272,康林,2020-03-06,2.2,,1.6,51.3
272,康林,2020-03-07,4.5,,1.3,60.1
272,康林,2020-03-08,6.5,,1.7,62.4
272,康林,2020-03-09,8.1,0,1.5,70
272,康林,2020-03-10,7.6,4.6,3.6,85.4
272,康林,2020-03-11,3.9,,5.6,48.8
272,康林,2020-03-12,6.5,,2.1,43.9
272,康林,2020-03-13,7.7,,4.8,40.3
272,康林,2020-03-14,4.4,,4.6,39.5
272,康林,2020-03-15,4.5,0,5.5,49.5
272,康林,2020-03-16,5,,4,41.4
272,康林,2020-03-17,5.6,.1,3.7,63.8
272,康林,2020-03-18,8.3,,2.1,52.5
272,康林,2020-03-19,6.6,,4.2,51.4
272,康林,2020-03-20,9.4,,4.9,35.5
272,康林,2020-03-21,14.2,,2.6,42.5
272,康林,2020-03-22,13.3,,3.9,48.1
272,康林,2020-03-23,8.1,,3.1,56.1
272,康林,2020-03-24,7.9,,1.9,56.5
272,康林,2020-03-25,9.9,,1.7,55.4
272,康林,2020-03-26,12.4,7,1.6,70.6
272,康林,2020-03-27,12.2,4.3,3.2,83
272,康林,2020-03-28,7.1,,2.5,60.9
272,康林,2020-03-29,6.5,,1.8,69
272,康林,2020-03-30,8.8,,1.7,64.9
272,康林,2020-03-31,11.3,,1.8,52.9
272,康林,2020-04-01,11.7,,3,45.3
272,康林,2020-04-02,9.9,,3.2,39.9
272,康林,2020-04-03,11.4,,4.3,26.1
272,康林,2020-04-04,8.7,,4.6,44.1
272,康林,2020-04-05,6.2,,2.8,42.6
272,康林,2020-04-06,8.5,,2.9,38.6
272,康林,2020-04-07,12.3,,4,39
272,康林,2020-04-08,9.2,,4.5,37
272,康林,2020-04-09,7.3,,2.6,54.6
272,康林,2020-04-10,9.4,,1.6,51.5
272,康林,2020-04-11,9.5,,1.6,51.6
272,康林,2020-04-12,6.8,0,1.8,69.5
272,康林,2020-04-13,8.5,,3,41.1
272,康林,2020-04-14,11.4,,3.6,33.9
272,康林,2020-04-15,13,,2.1,38.4
272,康林,2020-04-16,11.6,,2.1,58.5
272,康林,2020-04-17,8.9,10.3,.9,87.9
272,康林,2020-04-18,11.2,1,3.1,72.5
272,康林,2020-04-19,9.5,14.9,1.7,82.8
272,康林,2020-04-20,10.4,0,4.1,71
272,康林,2020-04-21,7.7,0,5.6,46
272,康林,2020-04-22,6,,5.8,45.1
272,康林,2020-04-23,7.5,,5.1,43
272,康林,2020-04-24,9.8,,4.1,41
272,康林,2020-04-25,12.4,,2.9,49
272,康林,2020-04-26,11.7,,3.4,50.6
272,康林,2020-04-27,9.8,,2.9,58.9
272,康林,2020-04-28,12.8,,4,46.8
272,康林,2020-04-29,16,,3.5,41.1
272,康林,2020-04-30,18.7,,3.2,42.1
272,康林,2020-05-01,21.7,,2.5,57.8
272,康林,2020-05-02,22.3,0,4.6,63.1
272,康林,2020-05-03,16.9,4.8,1,87.6
272,康林,2020-05-04,19.2,,2.6,73.5
272,康林,2020-05-05,14.8,2.5,1,81.9
272,康林,2020-05-06,15.6,,1.7,68.1
272,康林,2020-05-07,14.5,,1.9,52.8
272,康林,2020-05-08,16.7,2.5,1.7,51.3
272,康林,2020-05-09,14.6,57.2,.9,99.3
272,康林,2020-05-10,15.5,.2,5,78.8
272,康林,2020-05-11,18.1,0,4.8,52.9
272,康林,2020-05-12,16.3,.2,3.5,54.6
272,康林,2020-05-13,16.5,,4.1,44.6
272,康林,2020-05-14,17,,1.5,53.8
272,康林,2020-05-15,13.9,34.5,1.2,89.1
272,康林,2020-05-16,17.7,,1.2,83.1
272,康林,2020-05-17,20.1,,1.3,80.5
272,康林,2020-05-18,17.9,30.6,1.8,82.8
272,康林,2020-05-19,12.7,12.8,3,75.8
272,康林,2020-05-20,11.9,,2.3,71.5
272,康林,2020-05-21,14.1,,1.6,72.5
272,康林,2020-05-22,15.7,0,1,75.8
272,康林,2020-05-23,17.1,,1.4,71.9
272,康林,2020-05-24,17.9,1.9,2.4,73.8
272,康林,2020-05-25,17.8,,2.7,70.8
272,康林,2020-05-26,18.7,0,2.2,67.9
272,康林,2020-05-27,18.7,,3.1,55.3
272,康林,2020-05-28,17.8,0,1.4,62
272,康林,2020-05-29,17.7,0,1.5,67.5
272,康林,2020-05-30,19.4,,1.6,60.6
272,康林,2020-05-31,20.8,,1.7,60.1
272,康林,2020-06-01,20.5,0,4.7,52.4
272,康林,2020-06-02,19,,1.6,54.6
272,康林,2020-06-03,21.6,,2.2,68.8
272,康林,2020-06-04,24.1,,2,63.4
272,康林,2020-06-05,24.9,,2.8,57
272,康林,2020-06-06,21.1,,1.7,62.8
272,康林,2020-06-07,21.4,,1.4,62.4
272,康林,2020-06-08,25.1,,1.7,65.6
272,康林,2020-06-09,26.5,,1.8,63.8
272,康林,2020-06-10,25.2,11.4,1.2,69.1
272,康林,2020-06-11,24.9,15.2,1.4,77.9
272,康林,2020-06-12,22.8,3.2,1.3,86
272,康林,2020-06-13,23.9,.1,1.2,74.5
272,康林,2020-06-14,23.5,5.1,3,77.4
272,康林,2020-06-15,22.7,,3.3,61.8
272,康林,2020-06-16,22.4,,2.4,60.6
272,康林,2020-06-17,21.5,,1.4,71
272,康林,2020-06-18,20.2,,1.3,77.4
272,康林,2020-06-19,21.2,,1.2,73.8
272,康林,2020-06-20,21.9,1,1.6,80
272,康林,2020-06-21,23.4,,1.2,70.9
272,康林,2020-06-22,24.2,,1.5,68.9
272,康林,2020-06-23,24.8,,1.3,65.8
272,康林,2020-06-24,20.6,11.7,.8,81.1
272,康林,2020-06-25,20.5,1.5,.5,95.4
272,康林,2020-06-26,21.5,,2.5,79.5
272,康林,2020-06-27,22.4,0,1.8,78.5
272,康林,2020-06-28,23.2,,1.5,74
272,康林,2020-06-29,21,43.1,1.6,86
272,康林,2020-06-30,20.3,50,1.3,89.5
272,康林,2020-07-01,18.8,4.5,3,82.8
272,康林,2020-07-02,21.5,,1.4,73.4
272,康林,2020-07-03,19.7,0,1.1,81.3
272,康林,2020-07-04,21.1,1,1.1,78.9
272,康林,2020-07-05,21.3,,1.2,82.6
272,康林,2020-07-06,22.5,2.2,1.2,82.4
272,康林,2020-07-07,23.7,,2.4,78
272,康林,2020-07-08,24.3,,1.7,74
272,康林,2020-07-09,24.8,,1.5,72.1
272,康林,2020-07-10,23.4,17.9,1,86.6
272,康林,2020-07-11,24.6,,1.7,73.1
272,康林,2020-07-12,20.1,11.4,1.1,87.5
272,康林,2020-07-13,17.6,92.9,.9,97.4
272,康林,2020-07-14,19,1.2,1,91.8
272,康林,2020-07-15,19.2,3.8,.7,89.9
272,康林,2020-07-16,22,,1.1,82.5
272,康林,2020-07-17,22,,1.1,82.9
272,康林,2020-07-18,21.5,,1.1,81.6
272,康林,2020-07-19,21,.2,.7,89.3
272,康林,2020-07-20,24.5,17,2.1,83.8
272,康林,2020-07-21,25,,1.9,76.1
272,康林,2020-07-22,21.9,32.3,.4,96.5
