瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
156,堡林,2019-01-01,0,0,1.2,65.3
156,堡林,2019-01-02,-.1,,1.7,62.4
156,堡林,2019-01-03,.5,,1.5,53
156,堡林,2019-01-04,.7,,.7,56.4
156,堡林,2019-01-05,2,0,1,54.4
156,堡林,2019-01-06,.6,,1.6,44.3
156,堡林,2019-01-07,1.2,,1.5,64.1
156,堡林,2019-01-08,.8,,2.1,60.6
156,堡林,2019-01-09,-.9,,1.6,33.1
156,堡林,2019-01-10,2,0,.9,57
156,堡林,2019-01-11,4.2,.4,1.6,61
156,堡林,2019-01-12,4.6,3.5,1.5,77.6
156,堡林,2019-01-13,3.3,,.9,66.1
156,堡林,2019-01-14,2.3,,.9,71.8
156,堡林,2019-01-15,2,0,1.5,70.8
156,堡林,2019-01-16,-2.1,0,2.2,50.9
156,堡林,2019-01-17,1.1,,1,64.4
156,堡林,2019-01-18,2.4,,.8,70.5
156,堡林,2019-01-19,3.6,1.9,.9,71.3
156,堡林,2019-01-20,2.2,.3,2.1,64.1
156,堡林,2019-01-21,2.1,,1.3,59.5
156,堡林,2019-01-22,3.4,,1.1,64.4
156,堡林,2019-01-23,4.4,,1.1,62.1
156,堡林,2019-01-24,2.8,,1.2,36.5
156,堡林,2019-01-25,.9,,1.6,55.1
156,堡林,2019-01-26,-.5,,1.9,46.4
156,堡林,2019-01-27,.9,,1,61
156,堡林,2019-01-28,3.4,0,1.6,56.6
156,堡林,2019-01-29,2.1,,1.4,42.3
156,堡林,2019-01-30,4.1,0,1,46
156,堡林,2019-01-31,.4,10.3,1.8,81.9
156,堡林,2019-02-01,-.2,0,1.3,67.9
156,堡林,2019-02-02,3.8,0,1,71.8
156,堡林,2019-02-03,7.3,17.3,1.8,97.5
156,堡林,2019-02-04,4,,2.6,37.5
156,堡林,2019-02-05,5.4,,.8,45.5
156,堡林,2019-02-06,7.3,,1.3,61.9
156,堡林,2019-02-07,2.5,0,1.9,59.1
156,堡林,2019-02-08,-.9,,2.2,35
156,堡林,2019-02-09,-1.1,,2.1,47.4
156,堡林,2019-02-10,-1.2,,2,35.5
156,堡林,2019-02-11,-.1,,2.2,51.4
156,堡林,2019-02-12,1.5,,1.5,55.5
156,堡林,2019-02-13,1.9,,2.6,45.6
156,堡林,2019-02-14,2.3,,1.6,36.1
