瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
143,措备,2020-01-01,.2,,3,53.3
143,措备,2020-01-02,3.4,,2.8,57.9
143,措备,2020-01-03,3.6,,2.5,54.3
143,措备,2020-01-04,2.7,,2.4,55.4
143,措备,2020-01-05,2.2,,1,53.6
143,措备,2020-01-06,1.4,12,.9,84.3
143,措备,2020-01-07,7,27,1.1,97
143,措备,2020-01-08,7.9,.3,4.4,64.5
143,措备,2020-01-09,3.2,,3.5,54
143,措备,2020-01-10,2.2,,1.3,59.1
143,措备,2020-01-11,3.3,,2.4,50.4
143,措备,2020-01-12,2.7,,3.3,51.1
143,措备,2020-01-13,2.1,,3.4,48.1
143,措备,2020-01-14,1.6,,2.9,42.3
143,措备,2020-01-15,.9,,2.7,47
143,措备,2020-01-16,.3,,1.5,47.4
143,措备,2020-01-17,1.4,,.9,51.8
143,措备,2020-01-18,3.1,,1.6,44.1
143,措备,2020-01-19,3.2,,2.2,49.4
143,措备,2020-01-20,4.6,,3.3,44.1
143,措备,2020-01-21,1.9,,1.7,36
143,措备,2020-01-22,2.9,3.5,.8,65.9
143,措备,2020-01-23,5,7.5,.8,95.4
143,措备,2020-01-24,6.1,,1.9,80.3
143,措备,2020-01-25,7.2,,1.9,68.8
143,措备,2020-01-26,6.7,.1,2.3,74.1
143,措备,2020-01-27,6.2,19.5,4.1,85.3
143,措备,2020-01-28,7.4,0,1.3,75
143,措备,2020-01-29,6.2,.5,1.3,75
143,措备,2020-01-30,5.7,0,1.6,67.9
143,措备,2020-01-31,4.4,0,1.1,66.8
143,措备,2020-02-01,2.9,,2,67.6
143,措备,2020-02-02,3.6,,1.2,61.5
143,措备,2020-02-03,3.1,,2.9,45.6
143,措备,2020-02-04,1.9,,1.8,42.5
143,措备,2020-02-05,-1.5,0,4.5,30.8
143,措备,2020-02-06,-2.1,,1.8,39.3
143,措备,2020-02-07,1.1,,2.2,49.9
143,措备,2020-02-08,2.9,,3.7,46
143,措备,2020-02-09,1.9,,2.2,44.3
143,措备,2020-02-10,5.5,,2.1,46.8
143,措备,2020-02-11,6.1,,1.2,56.3
143,措备,2020-02-12,8.1,6,1.7,90.5
143,措备,2020-02-13,10.4,,1.8,76
143,措备,2020-02-14,10.7,,1.4,63.4
143,措备,2020-02-15,12,,2.6,69.8
143,措备,2020-02-16,5,4,4.8,64.1
143,措备,2020-02-17,-1.6,0,5.7,51.9
143,措备,2020-02-18,-.2,,3.5,44.8
143,措备,2020-02-19,4.7,,2,43.8
143,措备,2020-02-20,6.1,,1.1,53.3
143,措备,2020-02-21,8.3,0,1.5,56.5
143,措备,2020-02-22,8.2,0,4.7,46
143,措备,2020-02-23,4.9,,2.8,42.3
143,措备,2020-02-24,8.1,0,1.1,40.3
143,措备,2020-02-25,7,29,2.8,96.4
143,措备,2020-02-26,8.3,.2,1.9,82.8
143,措备,2020-02-27,6.1,0,3.4,68
143,措备,2020-02-28,4.5,1,1.4,90
143,措备,2020-02-29,6.3,,1.1,88.6
143,措备,2020-03-01,9.4,,1.5,78.5
