지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
133,대전,2020-01-01,-.6,0,.9,65.8
133,대전,2020-01-02,1.3,,.9,76.9
133,대전,2020-01-03,2,,1.1,73.4
133,대전,2020-01-04,.6,,.9,78.1
133,대전,2020-01-05,1.3,,.8,63.5
133,대전,2020-01-06,2.9,10.3,1.2,87.4
133,대전,2020-01-07,8.6,57,1.3,95.9
133,대전,2020-01-08,4.5,2.4,2.2,88.4
133,대전,2020-01-09,1.4,,1.8,71
133,대전,2020-01-10,.3,,.9,74.5
133,대전,2020-01-11,1.2,,1.1,72.5
133,대전,2020-01-12,1.4,,1.4,64.8
133,대전,2020-01-13,.2,0,1.7,61.3
133,대전,2020-01-14,-.1,,1,60.5
133,대전,2020-01-15,-.9,,1.1,65.4
133,대전,2020-01-16,-.6,,1,56.5
133,대전,2020-01-17,0,,.7,56.5
133,대전,2020-01-18,.5,,1,55
133,대전,2020-01-19,2.6,,1.6,62.1
133,대전,2020-01-20,3.4,0,2.2,57.3
133,대전,2020-01-21,.5,,1,45.3
133,대전,2020-01-22,2.4,.7,.7,69.5
133,대전,2020-01-23,6.1,.6,1,62.5
133,대전,2020-01-24,4.4,,.8,65.6
133,대전,2020-01-25,5.2,,.7,75.6
133,대전,2020-01-26,6.5,,2.6,71.1
133,대전,2020-01-27,6,7.5,3.4,76.8
133,대전,2020-01-28,6.3,0,.8,78.6
133,대전,2020-01-29,6.7,,.9,64
133,대전,2020-01-30,6.1,,1,64.1
133,대전,2020-01-31,3.7,,1,72.3
133,대전,2020-02-01,2.1,,.9,79
133,대전,2020-02-02,1.8,,.9,71.5
133,대전,2020-02-03,1.5,0,1.6,58
133,대전,2020-02-04,.4,.7,1.1,61.9
133,대전,2020-02-05,-4.6,.1,2.4,47.8
133,대전,2020-02-06,-5,,.9,45.9
133,대전,2020-02-07,-1.2,,1.1,54.5
133,대전,2020-02-08,1.6,,1.8,55.6
133,대전,2020-02-09,.5,,1.2,57.9
133,대전,2020-02-10,5.1,,1.2,53.6
133,대전,2020-02-11,6.6,,.9,47.5
133,대전,2020-02-12,7.7,15.8,1.2,91.3
133,대전,2020-02-13,7.4,.1,1.3,91
133,대전,2020-02-14,7.5,,.7,83.6
133,대전,2020-02-15,9.9,1.5,1.3,78.8
133,대전,2020-02-16,.8,8.4,2.3,84
133,대전,2020-02-17,-3.2,.7,2.8,73
