瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
159,何魂,2021-01-01,.3,,2.6,51.8
159,何魂,2021-01-02,1.3,,2.5,41.4
159,何魂,2021-01-03,.1,,2.4,31
159,何魂,2021-01-04,3,,2.2,40.9
159,何魂,2021-01-05,3,,2.5,38.6
159,何魂,2021-01-06,-1.7,,4.3,37.6
159,何魂,2021-01-07,-6.1,0,4.9,33.8
159,何魂,2021-01-08,-8.2,,3.2,35
159,何魂,2021-01-09,-5.9,,3.1,38.6
159,何魂,2021-01-10,-2.3,,2.3,45.4
159,何魂,2021-01-11,.2,,2.5,50
159,何魂,2021-01-12,1.4,,2.8,46.8
159,何魂,2021-01-13,7.1,,5.2,52.9
159,何魂,2021-01-14,8.9,,2.1,53.4
159,何魂,2021-01-15,11.9,,4.1,65.1
159,何魂,2021-01-16,5.7,,3.1,34.6
159,何魂,2021-01-17,-.5,,3.1,28.6
159,何魂,2021-01-18,1.1,0,4.5,52.1
159,何魂,2021-01-19,.2,,2.3,37.3
159,何魂,2021-01-20,5.4,,.9,60.5
159,何魂,2021-01-21,8.9,2,1.9,69.5
159,何魂,2021-01-22,10.1,3.1,1.4,93.4
159,何魂,2021-01-23,10.4,3.3,4.9,76.8
159,何魂,2021-01-24,9.2,0,3.8,63
159,何魂,2021-01-25,9.3,,3.7,64.1
159,何魂,2021-01-26,7.7,17.4,2.8,83
159,何魂,2021-01-27,7.4,,,49.1
159,何魂,2021-01-28,4.4,,4,46.1
159,何魂,2021-01-29,-2.6,,4.3,30.5
159,何魂,2021-01-30,3.1,,5.7,47
159,何魂,2021-01-31,8.7,,2.3,46.4
159,何魂,2021-02-01,10,22.9,5.5,82.8
159,何魂,2021-02-02,2.3,,3.2,31.4
159,何魂,2021-02-03,.7,,3.2,42.8
159,何魂,2021-02-04,5.1,,3.7,37.5
159,何魂,2021-02-05,5.3,,3.7,33
159,何魂,2021-02-06,9.5,,3.9,54.3
159,何魂,2021-02-07,10.1,,2.8,53.1
159,何魂,2021-02-08,3.2,,3.4,21.9
159,何魂,2021-02-09,2.8,,3.6,28.6
159,何魂,2021-02-10,6.6,,3.5,33.8
159,何魂,2021-02-11,8.3,,2.2,56.3
159,何魂,2021-02-12,10.7,,1.7,59.1
159,何魂,2021-02-13,12.6,,1.6,52.6
159,何魂,2021-02-14,11.9,17.3,1.1,92.6
159,何魂,2021-02-15,8.1,.6,5.4,57.4
159,何魂,2021-02-16,2,,4.9,40.1
159,何魂,2021-02-17,-3.2,,5.8,32.4
159,何魂,2021-02-18,-2.4,,3.4,40.5
159,何魂,2021-02-19,4.3,,4.7,44.1
159,何魂,2021-02-20,11.8,,5.9,66.4
159,何魂,2021-02-21,14.6,,5.7,58.6
159,何魂,2021-02-22,15.2,,5.3,57.6
159,何魂,2021-02-23,8.4,,2.7,33.1
159,何魂,2021-02-24,7.8,,2.3,46.5
159,何魂,2021-02-25,8.8,2,2.4,69.6
159,何魂,2021-02-26,9.1,6.7,4.6,69.8
159,何魂,2021-02-27,7.4,,5.6,60
159,何魂,2021-02-28,10.5,,2.6,71.9
159,何魂,2021-03-01,12.4,37.8,3.6,90.3
159,何魂,2021-03-02,4.5,10,3.4,71.3
159,何魂,2021-03-03,6.1,,2.8,58.3
159,何魂,2021-03-04,9.2,6.3,1.4,77.3
159,何魂,2021-03-05,12.5,2.1,2.6,81.1
159,何魂,2021-03-06,8.1,0,3.9,71.5
159,何魂,2021-03-07,6.5,,3,65.8
159,何魂,2021-03-08,8.4,,2.8,63.8
159,何魂,2021-03-09,9.7,,3,61.3
159,何魂,2021-03-10,10.3,,3.8,49.9
159,何魂,2021-03-11,11.5,0,2,66.5
159,何魂,2021-03-12,10,23.4,3.8,86
159,何魂,2021-03-13,10.9,,2.8,64
159,何魂,2021-03-14,12.3,,2.1,61
159,何魂,2021-03-15,12.9,,3.5,65.6
159,何魂,2021-03-16,15.2,2.5,3.3,75.4
159,何魂,2021-03-17,11.4,,3.6,61.3
159,何魂,2021-03-18,11.4,,4,64.5
159,何魂,2021-03-19,12.1,,4.5,60.4
159,何魂,2021-03-20,10.9,7.8,2.6,89.1
