지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
108,서울,2017-01-01,2.7,,1.5,75.9
108,서울,2017-01-02,5,.3,2.1,77.8
108,서울,2017-01-03,2,,1.8,61.8
108,서울,2017-01-04,3.9,,1.7,55
108,서울,2017-01-05,3.8,,3.1,52.3
108,서울,2017-01-06,5.4,,2.4,58.5
108,서울,2017-01-07,4.6,,1.4,64.9
108,서울,2017-01-08,6.5,0,2.6,61.4
108,서울,2017-01-09,1.5,0,3.3,60.8
108,서울,2017-01-10,-3.7,,3.2,45.1
108,서울,2017-01-11,-3.8,,2.1,36.4
108,서울,2017-01-12,-2.2,0,3.1,43.1
108,서울,2017-01-13,-6,.6,2.9,47.4
108,서울,2017-01-14,-8.4,,3.8,33.3
108,서울,2017-01-15,-6.6,,2.3,35.3
108,서울,2017-01-16,-3.8,,1.4,37.6
108,서울,2017-01-17,-2,,1.5,46.6
108,서울,2017-01-18,-.5,0,1.3,68.9
108,서울,2017-01-19,-1.2,,1.6,55.4
108,서울,2017-01-20,-4.4,4,3,70.3
108,서울,2017-01-21,-5.2,2.1,1.6,78.1
108,서울,2017-01-22,-8.3,0,3.8,51.3
108,서울,2017-01-23,-8.9,,2.2,48.4
108,서울,2017-01-24,-7,,2,49.6
108,서울,2017-01-25,-5.2,,1.5,50.6
108,서울,2017-01-26,-1.3,.3,2.2,64.4
108,서울,2017-01-27,-2.6,3,3.4,47.3
108,서울,2017-01-28,-1.6,,1.7,38
108,서울,2017-01-29,.8,4.5,1.8,71.1
108,서울,2017-01-30,-4.8,.1,3.3,61.4
108,서울,2017-01-31,-5.4,,1.7,44.8
108,서울,2017-02-01,-4,,2.5,44.5
108,서울,2017-02-02,-2.7,,2.7,52.9
108,서울,2017-02-03,1.5,,1.5,65.4
108,서울,2017-02-04,.9,,1.6,69.4
108,서울,2017-02-05,1.2,.5,2.1,75.3
108,서울,2017-02-06,-1.7,,3,51
108,서울,2017-02-07,-2,,1.5,45.4
108,서울,2017-02-08,-2.2,,2,50.1
108,서울,2017-02-09,-5.3,,3.8,47
108,서울,2017-02-10,-6.6,,4.1,44.3
108,서울,2017-02-11,-4.8,,2.8,45.4
108,서울,2017-02-12,-2.2,,2.1,51.3
108,서울,2017-02-13,.1,,1.6,59.6
108,서울,2017-02-14,.3,,2.5,46
108,서울,2017-02-15,1.8,,1.4,52.1
108,서울,2017-02-16,5.5,0,2,63.9
108,서울,2017-02-17,.8,4,3.9,56.9
108,서울,2017-02-18,-2.6,,2.8,49.4
108,서울,2017-02-19,2.3,1,1.9,68
108,서울,2017-02-20,-1.5,.5,4.2,53.8
108,서울,2017-02-21,-.6,,1.6,37.1
108,서울,2017-02-22,1.7,5.1,2.7,70.8
108,서울,2017-02-23,-1.5,,3.8,56.4
108,서울,2017-02-24,-.8,,2.2,51.3
108,서울,2017-02-25,2.6,,2.3,63.6
108,서울,2017-02-26,3.6,,2.1,52.8
108,서울,2017-02-27,3.7,,1.8,37.4
108,서울,2017-02-28,5.6,,2,41.5
108,서울,2017-03-01,5,5,1.8,65
108,서울,2017-03-02,1.8,.5,3.1,59.5
108,서울,2017-03-03,3.3,,2.1,54.4
108,서울,2017-03-04,5.7,,1.6,60
108,서울,2017-03-05,5.2,.5,2.1,71.6
108,서울,2017-03-06,.1,,4,41.3
108,서울,2017-03-07,-1.3,0,3.9,37.5
108,서울,2017-03-08,-.1,0,3.1,50.6
108,서울,2017-03-09,3.2,,3.1,47.3
108,서울,2017-03-10,4.8,,2.2,37.4
108,서울,2017-03-11,7.3,,1.8,37.4
108,서울,2017-03-12,8.2,0,2,58.4
108,서울,2017-03-13,6.9,,2.5,49.8
108,서울,2017-03-14,5.8,,3.2,37.5
108,서울,2017-03-15,6.3,,2.1,34.9
108,서울,2017-03-16,6.2,,1.9,41.8
108,서울,2017-03-17,7.7,,2,43.1
108,서울,2017-03-18,9.5,,2.3,34.1
108,서울,2017-03-19,10.9,,1.6,36
108,서울,2017-03-20,10.2,,1.8,40.4
108,서울,2017-03-21,7.4,,3.1,48.1
108,서울,2017-03-22,7.6,,2.5,32.8
108,서울,2017-03-23,9.1,,2.2,34
108,서울,2017-03-24,8.7,,2.1,41.4
108,서울,2017-03-25,8.1,,2.1,41.1
108,서울,2017-03-26,7.3,,2.2,53.1
108,서울,2017-03-27,6.1,.4,2.5,67.4
108,서울,2017-03-28,7.1,,1.9,59.8
108,서울,2017-03-29,8.8,,2.3,54.9
108,서울,2017-03-30,10.6,,1.9,50
108,서울,2017-03-31,8.6,1.5,2.4,70.6
108,서울,2017-04-01,9,1,2.1,60.5
108,서울,2017-04-02,9,,2.1,53.1
108,서울,2017-04-03,11.4,,2.1,45.6
108,서울,2017-04-04,14.1,,2,35.3
108,서울,2017-04-05,12,37.5,2.4,66
108,서울,2017-04-06,10.4,3,2.4,90
108,서울,2017-04-07,14.5,,2.1,68.1
108,서울,2017-04-08,13,.5,2.5,74.5
108,서울,2017-04-09,14.8,.5,2.8,59.6
108,서울,2017-04-10,16.5,,2.8,25.8
108,서울,2017-04-11,15.3,,3.2,36.8
108,서울,2017-04-12,11.5,,3.7,21.8
108,서울,2017-04-13,12.7,0,2.5,54
108,서울,2017-04-14,13,6,3.5,57.9
108,서울,2017-04-15,16.8,,2.2,59.4
108,서울,2017-04-16,18.7,,1.4,52.9
108,서울,2017-04-17,14.7,5.5,2.2,66.5
108,서울,2017-04-18,11.7,7.5,2.5,76.5
108,서울,2017-04-19,12.6,,2.9,43.1
108,서울,2017-04-20,12.9,.1,2.3,45.4
108,서울,2017-04-21,13.1,,2,56.5
108,서울,2017-04-22,14.8,,2.1,48.4
108,서울,2017-04-23,14.9,,2.4,40
108,서울,2017-04-24,15.1,,2.7,39.4
108,서울,2017-04-25,16,,2.7,56.8
108,서울,2017-04-26,15.1,,3.3,36
108,서울,2017-04-27,13.6,,3.3,41.8
108,서울,2017-04-28,14.4,,3,57.3
108,서울,2017-04-29,17.1,,2.7,44.3
108,서울,2017-04-30,19.3,,2.6,57.9
108,서울,2017-05-01,20.1,,1.9,50.8
108,서울,2017-05-02,20.7,,2.1,42
108,서울,2017-05-03,21.5,,2,34.1
108,서울,2017-05-04,21,,2,43.6
108,서울,2017-05-05,20.9,,3.2,53.4
108,서울,2017-05-06,14.9,,3.8,32
108,서울,2017-05-07,16.6,,3.2,42.6
108,서울,2017-05-08,17.9,,2.1,43.6
108,서울,2017-05-09,17.1,2.5,1.6,62.6
108,서울,2017-05-10,16.4,2.5,2.5,73
108,서울,2017-05-11,19.3,0,1.8,65.3
108,서울,2017-05-12,19.1,,2.1,71.6
108,서울,2017-05-13,16.4,6,3.1,77.8
108,서울,2017-05-14,15.7,,3.7,58.3
108,서울,2017-05-15,16,0,2.8,61.4
108,서울,2017-05-16,17.1,,2,60.5
108,서울,2017-05-17,18.6,,2.1,51.5
108,서울,2017-05-18,20.4,,2.3,41.9
108,서울,2017-05-19,21.1,,2.6,42.6
108,서울,2017-05-20,20.9,,2.4,44
108,서울,2017-05-21,21.5,,2.3,48.1
108,서울,2017-05-22,21.8,,2,53.6
108,서울,2017-05-23,20,5,1.9,68
108,서울,2017-05-24,21.8,.1,2,60.4
108,서울,2017-05-25,19.2,,3.4,45.6
108,서울,2017-05-26,17.7,,2.9,41.5
108,서울,2017-05-27,19.5,,2.2,46.1
108,서울,2017-05-28,21.2,,2.7,50.6
108,서울,2017-05-29,22.9,,2.3,61.8
108,서울,2017-05-30,23.6,,2.4,43.5
108,서울,2017-05-31,23.3,,1.9,49.1
108,서울,2017-06-01,23.3,,3.1,51.8
108,서울,2017-06-02,20.5,0,2.8,37.4
108,서울,2017-06-03,20.5,,3,44
108,서울,2017-06-04,21.7,,2.6,36.9
108,서울,2017-06-05,24.2,0,1.9,33.3
108,서울,2017-06-06,19.4,15.5,2.5,60
108,서울,2017-06-07,17.6,12.5,2.4,91.4
108,서울,2017-06-08,20.1,,2.8,67.3
108,서울,2017-06-09,21.2,.1,3.3,69.8
108,서울,2017-06-10,21.5,4.5,2.3,46.8
108,서울,2017-06-11,22.8,,2.2,33.8
108,서울,2017-06-12,22.1,,2.8,45.5
108,서울,2017-06-13,21.5,0,2.4,63
108,서울,2017-06-14,21.8,,2.8,63
108,서울,2017-06-15,23.1,,2.5,62.4
108,서울,2017-06-16,25.5,,2.2,55.8
108,서울,2017-06-17,24.2,,2.4,52.3
108,서울,2017-06-18,24.3,,2.3,52
108,서울,2017-06-19,24.8,,1.8,50.9
108,서울,2017-06-20,26,0,2.1,43.4
108,서울,2017-06-21,25.4,0,2.9,52.6
108,서울,2017-06-22,25.3,,2.5,57.3
108,서울,2017-06-23,26.7,,2,53
108,서울,2017-06-24,24.5,3.5,1.2,60.4
108,서울,2017-06-25,23.8,1.5,1.5,75.4
108,서울,2017-06-26,23.1,29,2.2,76.9
108,서울,2017-06-27,25.2,0,2.2,67.5
108,서울,2017-06-28,26,,2.1,63.5
108,서울,2017-06-29,26.2,,2.2,64.8
108,서울,2017-06-30,25.9,,2.2,65.9
108,서울,2017-07-01,25.3,.5,2,73.6
108,서울,2017-07-02,24.3,92,2.5,90.5
108,서울,2017-07-03,24.7,67.5,3.5,87.6
108,서울,2017-07-04,26.7,.5,2,74.5
108,서울,2017-07-05,27.4,,1.5,66.9
108,서울,2017-07-06,27.6,34,1.7,72.3
108,서울,2017-07-07,26.4,16.5,2,80.8
108,서울,2017-07-08,26,4.5,2.6,83.3
108,서울,2017-07-09,26.3,32.5,1,88
108,서울,2017-07-10,24,144.5,2.3,96.5
