지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
152,울산,2017-01-01,6.5,,1.8,60.4
152,울산,2017-01-02,8.2,,2.1,64.3
152,울산,2017-01-03,7.1,,2.1,42.8
152,울산,2017-01-04,6.9,,1.7,52.5
152,울산,2017-01-05,5.5,11.2,2.1,90.1
152,울산,2017-01-06,6.2,0,2,68
152,울산,2017-01-07,6.3,,1.4,78.9
152,울산,2017-01-08,8.4,2.1,2.2,87.4
152,울산,2017-01-09,6.4,,3.1,56.6
152,울산,2017-01-10,2.4,,3.3,45
152,울산,2017-01-11,0,,3,34.3
152,울산,2017-01-12,2.9,,2.4,46.4
152,울산,2017-01-13,.5,0,2.9,39.3
152,울산,2017-01-14,-3.5,,4.1,33.3
152,울산,2017-01-15,-2.7,,2.7,26.6
152,울산,2017-01-16,0,,2.8,39.8
152,울산,2017-01-17,3.5,,1.5,40.4
152,울산,2017-01-18,3.1,,2,48.6
152,울산,2017-01-19,4.1,,1.3,63.5
152,울산,2017-01-20,.7,0,3.1,58.8
152,울산,2017-01-21,-1,,2.4,49.8
152,울산,2017-01-22,-1.3,0,3.2,46
152,울산,2017-01-23,-3.5,,4.3,37.5
152,울산,2017-01-24,-2.2,,3.2,33.9
152,울산,2017-01-25,-.1,,2.3,33.8
152,울산,2017-01-26,3.4,,2.5,26.3
152,울산,2017-01-27,5.9,,3,27
152,울산,2017-01-28,4.9,,2.1,37.8
152,울산,2017-01-29,5.6,1.9,1.1,84
152,울산,2017-01-30,2.4,.1,3.5,54.5
152,울산,2017-01-31,1.6,,2.7,49
152,울산,2017-02-01,1.4,,3.4,31.9
152,울산,2017-02-02,2.4,,3.4,24.5
152,울산,2017-02-03,4.5,,2.1,43.8
152,울산,2017-02-04,8.5,0,2.2,36.5
152,울산,2017-02-05,7.1,2.4,2.6,75.6
152,울산,2017-02-06,2.9,,3.7,42.1
152,울산,2017-02-07,3.3,,2.4,54
152,울산,2017-02-08,4.7,0,1.8,55.5
152,울산,2017-02-09,.3,0,5.5,36.3
152,울산,2017-02-10,-2.4,,4.5,38.4
152,울산,2017-02-11,-1.3,,3.8,40.3
152,울산,2017-02-12,1.4,,3.4,39.1
152,울산,2017-02-13,3.6,,2.5,41.4
152,울산,2017-02-14,3.4,0,2.2,62.9
152,울산,2017-02-15,6.6,,1.6,32.6
152,울산,2017-02-16,10.4,.8,3.1,54.9
152,울산,2017-02-17,11.4,.6,3.7,42.6
152,울산,2017-02-18,2.5,,3.2,24.9
152,울산,2017-02-19,5.8,.1,2.7,48
152,울산,2017-02-20,8.2,1.2,4,51.9
152,울산,2017-02-21,3.1,,2,56.3
152,울산,2017-02-22,6.1,18.2,1.3,87.6
152,울산,2017-02-23,3.7,,3.5,59
152,울산,2017-02-24,2,,2.8,39.5
152,울산,2017-02-25,5.3,,2.2,37.4
152,울산,2017-02-26,5.4,,2.2,55.5
152,울산,2017-02-27,5,.3,1.7,84.5
152,울산,2017-02-28,7.3,,1.8,67.8
152,울산,2017-03-01,8.2,8.1,2,59.8
152,울산,2017-03-02,5.4,3.1,3,73.3
152,울산,2017-03-03,5.6,,2.1,50
152,울산,2017-03-04,8.8,,1.8,50.4
152,울산,2017-03-05,8.7,,1.4,64.8
152,울산,2017-03-06,5.8,,3.7,31.9
152,울산,2017-03-07,2,,3,35
152,울산,2017-03-08,2.4,,3.7,40.9
152,울산,2017-03-09,6.9,,2.8,32
152,울산,2017-03-10,7.3,,2.5,39.9
152,울산,2017-03-11,8.6,,1.9,41.5
152,울산,2017-03-12,10.7,,1.7,46.5
152,울산,2017-03-13,9.6,,2.6,55.6
152,울산,2017-03-14,7.2,.2,2.4,73.4
152,울산,2017-03-15,6,,2.8,66.4
152,울산,2017-03-16,7.9,,1.7,66.5
152,울산,2017-03-17,9.4,,2.2,43.8
152,울산,2017-03-18,10.2,,1.3,44.1
152,울산,2017-03-19,10.6,,2.5,48.9
152,울산,2017-03-20,8.9,6.5,1.7,84.1
152,울산,2017-03-21,7.7,2,3,80.6
152,울산,2017-03-22,8.6,,1.6,57.4
152,울산,2017-03-23,10.9,,2.4,50.6
152,울산,2017-03-24,8.7,,2.1,56.4
152,울산,2017-03-25,8.6,.1,2.1,71.9
152,울산,2017-03-26,6.6,3.1,2,86.3
152,울산,2017-03-27,6.4,.4,2.5,76
152,울산,2017-03-28,9.1,0,2.2,53.6
152,울산,2017-03-29,9.2,1.1,2,84.4
152,울산,2017-03-30,12,,2.7,61.3
152,울산,2017-03-31,9.5,3,2.4,73.9
152,울산,2017-04-01,7.5,10.1,1.8,92.1
152,울산,2017-04-02,8,,2.7,77.1
152,울산,2017-04-03,14.5,,2.5,32.4
152,울산,2017-04-04,16,,2.4,34.3
152,울산,2017-04-05,14.2,8.7,2.7,77.1
152,울산,2017-04-06,16.1,35.1,3.6,97.5
152,울산,2017-04-07,15.2,,2.4,71.3
152,울산,2017-04-08,16.4,,1.5,73.9
152,울산,2017-04-09,12.7,,2.8,71.6
152,울산,2017-04-10,11.6,.5,2.9,74.3
152,울산,2017-04-11,11.9,15.7,2.6,85.3
152,울산,2017-04-12,13.2,,2.8,46.8
152,울산,2017-04-13,15.1,,2.4,40.8
152,울산,2017-04-14,17.1,,4.6,46
152,울산,2017-04-15,19.9,.1,2.5,56.6
152,울산,2017-04-16,18.1,,1.2,65.8
152,울산,2017-04-17,14.8,40.7,1.4,98
152,울산,2017-04-18,15.9,.7,2.9,67.5
152,울산,2017-04-19,15.7,,2.3,35.3
152,울산,2017-04-20,14.8,0,1.6,52.4
152,울산,2017-04-21,14.3,,2.3,64.5
152,울산,2017-04-22,12.3,,2.1,78
152,울산,2017-04-23,14,,1.6,74
152,울산,2017-04-24,16.3,,2.2,59.6
152,울산,2017-04-25,19.2,,3,68
152,울산,2017-04-26,14.1,.3,1.6,88.1
152,울산,2017-04-27,13.2,,2.2,52.6
152,울산,2017-04-28,17.6,,3.1,33.1
152,울산,2017-04-29,18.8,,2.8,35.9
152,울산,2017-04-30,23.1,,4.1,38.6
152,울산,2017-05-01,16.8,,2.3,46.9
152,울산,2017-05-02,14.3,,1.8,56.5
152,울산,2017-05-03,16.4,,1.5,67.4
152,울산,2017-05-04,18.1,.1,1.8,82.9
152,울산,2017-05-05,19.7,4.6,1.8,85.8
152,울산,2017-05-06,19.6,,2.2,35.6
152,울산,2017-05-07,21,,2.5,23.6
152,울산,2017-05-08,22.1,,2.5,30.5
152,울산,2017-05-09,15.7,14.9,1.9,84.1
152,울산,2017-05-10,17.3,,1.5,80.9
152,울산,2017-05-11,20.2,0,1.4,69.5
152,울산,2017-05-12,17.5,6.2,1,95.3
152,울산,2017-05-13,18.4,,2,75.9
152,울산,2017-05-14,19.9,,2.3,35.4
152,울산,2017-05-15,18.5,,2.6,41.8
152,울산,2017-05-16,16.7,,1.8,72.3
152,울산,2017-05-17,16.8,.2,1.6,82.6
152,울산,2017-05-18,20.2,,1.5,64.1
152,울산,2017-05-19,24.6,,2.5,35.1
152,울산,2017-05-20,23.9,,1.9,37.4
152,울산,2017-05-21,21.9,,1.4,55.4
152,울산,2017-05-22,19.9,,1.9,72.1
152,울산,2017-05-23,20.9,,1.5,72.1
152,울산,2017-05-24,19.1,.3,1.7,84.6
152,울산,2017-05-25,21.5,,2.4,63.4
152,울산,2017-05-26,15.1,,1.9,76.9
152,울산,2017-05-27,17.4,,1.9,72.9
152,울산,2017-05-28,20.9,,1.9,58.3
152,울산,2017-05-29,23.2,,1.4,59.5
152,울산,2017-05-30,25.6,,1.1,50.6
152,울산,2017-05-31,23.1,,1.4,66
152,울산,2017-06-01,21.2,13.4,1.6,81.8
152,울산,2017-06-02,17.1,,2.1,74
152,울산,2017-06-03,18.4,,1.9,65
152,울산,2017-06-04,18.4,,2,59.3
152,울산,2017-06-05,18,,2.6,69.6
152,울산,2017-06-06,17.7,0,1.6,87.4
152,울산,2017-06-07,20.4,7,2.9,87.9
152,울산,2017-06-08,21.3,,2.5,65
152,울산,2017-06-09,24.5,,2.2,48.4
152,울산,2017-06-10,21.1,,1.9,47.1
152,울산,2017-06-11,19,,2.6,61.3
152,울산,2017-06-12,17.8,,2.6,73.6
152,울산,2017-06-13,18.1,2.8,1.7,78.5
152,울산,2017-06-14,20.7,,1.8,74.4
152,울산,2017-06-15,23.8,,2.2,52.6
152,울산,2017-06-16,19.3,,2.6,81.4
152,울산,2017-06-17,19.8,,1.5,81.4
152,울산,2017-06-18,21.3,,1.3,82
152,울산,2017-06-19,24.3,,1.1,68.6
152,울산,2017-06-20,22.1,8.9,1.4,79.8
152,울산,2017-06-21,22.2,,2.5,74.9
152,울산,2017-06-22,23.1,,1.4,77
152,울산,2017-06-23,24,,1.5,72.6
152,울산,2017-06-24,23.3,,1.4,80
152,울산,2017-06-25,22.6,3.1,1.6,86.3
152,울산,2017-06-26,21.5,.2,1.6,93.3
152,울산,2017-06-27,22.2,,1.5,84.8
152,울산,2017-06-28,23.7,,1.4,83.4
152,울산,2017-06-29,23.3,2.8,1.3,83.8
152,울산,2017-06-30,26.1,.3,2.2,78.4
152,울산,2017-07-01,27.3,0,2.7,77.1
152,울산,2017-07-02,27.4,16.6,3.7,82.4
152,울산,2017-07-03,27.5,0,3.6,78.8
152,울산,2017-07-04,24.5,18.9,1.3,93.8
152,울산,2017-07-05,23.8,.9,1.1,91.5
152,울산,2017-07-06,25,0,1.3,91.1
152,울산,2017-07-07,26.1,1,1.9,92.4
152,울산,2017-07-08,26.9,1.7,2,90
152,울산,2017-07-09,28,.4,1.5,84.9
152,울산,2017-07-10,27.4,0,3.4,88.9
152,울산,2017-07-11,27.6,0,3.1,78.1
152,울산,2017-07-12,28.9,,1.9,71.1
152,울산,2017-07-13,28.2,,1.5,73.4
152,울산,2017-07-14,28.6,,1.8,74.1
152,울산,2017-07-15,28.7,.1,2.6,75
152,울산,2017-07-16,30.1,,2.1,67.4
152,울산,2017-07-17,29.1,.3,1.9,69.5
152,울산,2017-07-18,28.8,,1.6,70.8
152,울산,2017-07-19,28.2,,1.8,77.1
152,울산,2017-07-20,28.3,,1.4,80.1
152,울산,2017-07-21,30.4,2.5,1.2,77.4
152,울산,2017-07-22,27.8,1.1,1.7,85.3
152,울산,2017-07-23,29,,1.3,80.6
152,울산,2017-07-24,27.5,17,1,88.8
152,울산,2017-07-25,25.1,30.4,1.8,95.9
152,울산,2017-07-26,25,,2.7,74.1
152,울산,2017-07-27,24.7,,1.9,75.8
152,울산,2017-07-28,26.2,,1.4,79.1
152,울산,2017-07-29,23.3,11.2,1.5,96.4
152,울산,2017-07-30,25.4,,1,88.5
152,울산,2017-07-31,25.5,2.5,1.1,96.4
152,울산,2017-08-01,25.8,.8,1.6,91.5
152,울산,2017-08-02,24.8,,1.8,88.4
152,울산,2017-08-03,26.3,,2.6,84.6
152,울산,2017-08-04,28.1,,1.9,81.8
152,울산,2017-08-05,28.7,,1.8,81.9
152,울산,2017-08-06,29.4,,2.1,76.4
152,울산,2017-08-07,28.7,,2.3,79.5
152,울산,2017-08-08,29,0,1.8,75.6
152,울산,2017-08-09,26.4,15.9,1.5,95.6
152,울산,2017-08-10,25.1,9,2.1,96.9
152,울산,2017-08-11,25.6,,2.2,82.9
152,울산,2017-08-12,24.5,,2.2,83.1
152,울산,2017-08-13,24.3,0,2.2,83.8
152,울산,2017-08-14,22.9,34.1,2,98
152,울산,2017-08-15,24.2,1.3,1.3,98
152,울산,2017-08-16,24.6,0,2.5,92.9
152,울산,2017-08-17,24.8,,2.1,89.3
152,울산,2017-08-18,25,0,1.2,89
152,울산,2017-08-19,25.2,.6,1.8,88.8
152,울산,2017-08-20,25.8,1.1,1.6,90.6
152,울산,2017-08-21,26.9,2.1,2.8,87.6
152,울산,2017-08-22,27.6,3.3,2.1,86.1
152,울산,2017-08-23,29.7,,2.7,77.6
152,울산,2017-08-24,30.6,,3.9,71.9
152,울산,2017-08-25,26.5,1.6,1.8,77
152,울산,2017-08-26,24.5,,1.8,58.3
152,울산,2017-08-27,23.1,,1.7,66.6
152,울산,2017-08-28,25.5,,1.7,69.9
152,울산,2017-08-29,24.7,,2.3,79.3
152,울산,2017-08-30,22.2,,2.5,62.8
152,울산,2017-08-31,21.9,,3,62.5
152,울산,2017-09-01,21.5,0,3.2,65
152,울산,2017-09-02,21,,2.7,69.5
152,울산,2017-09-03,21.5,,2.5,73.5
152,울산,2017-09-04,22.2,,2,79.8
152,울산,2017-09-05,22,.4,1.3,91.5
152,울산,2017-09-06,21.7,25.3,1.2,96.4
152,울산,2017-09-07,21.1,3.6,1.5,88.1
152,울산,2017-09-08,22.9,,1.6,80
152,울산,2017-09-09,23.8,,1.1,78.1
152,울산,2017-09-10,23.1,,1.4,83.5
152,울산,2017-09-11,21.3,104.5,1.7,97.6
152,울산,2017-09-12,23,,1.6,82.6
152,울산,2017-09-13,21.6,,2.3,61.5
152,울산,2017-09-14,21.2,,2.1,74.1
152,울산,2017-09-15,21.9,,3.5,59.4
152,울산,2017-09-16,22,2.9,3.3,78.3
152,울산,2017-09-17,20.7,18.2,3.5,95.5
152,울산,2017-09-18,21.7,,1.3,77
152,울산,2017-09-19,22.8,,1.7,73.3
152,울산,2017-09-20,22,,2,57.6
152,울산,2017-09-21,19.7,,1.4,74.8
152,울산,2017-09-22,20.3,,1.3,86
152,울산,2017-09-23,21,,1.1,77
152,울산,2017-09-24,21.5,,1.1,75.8
152,울산,2017-09-25,22.1,,2.1,80.1
152,울산,2017-09-26,21.5,,1.4,80.8
152,울산,2017-09-27,18.7,23.1,3,96.6
152,울산,2017-09-28,20.2,0,2.6,74.8
152,울산,2017-09-29,17.2,,1.7,46.8
152,울산,2017-09-30,18.2,,1.4,51.1
152,울산,2017-10-01,18.2,5.3,.8,81.4
152,울산,2017-10-02,20.7,26.9,3.1,93.6
152,울산,2017-10-03,19.3,0,2.4,83.3
152,울산,2017-10-04,17.9,0,2.2,73
152,울산,2017-10-05,17.3,0,2.6,72.5
152,울산,2017-10-06,17.8,16.2,1.6,97.9
152,울산,2017-10-07,20.2,,2,91.5
152,울산,2017-10-08,21,,1.5,88.8
152,울산,2017-10-09,22,,1.1,83.1
152,울산,2017-10-10,22.5,,1.6,84.6
152,울산,2017-10-11,21.8,0,1.7,84.4
