지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
112,인천,2017-01-01,5.1,,2.2,78.6
112,인천,2017-01-02,5.7,.2,3.3,82.9
112,인천,2017-01-03,3.4,,2,68.8
112,인천,2017-01-04,4.3,,2.5,63.6
112,인천,2017-01-05,4.8,,3.8,53.5
112,인천,2017-01-06,6.5,,2.5,62.6
112,인천,2017-01-07,5,,2.1,74
112,인천,2017-01-08,6.3,,3.7,70.3
112,인천,2017-01-09,1.9,.1,4.8,66.3
112,인천,2017-01-10,-2.4,0,4.4,49.6
112,인천,2017-01-11,-1.9,0,2.9,42.6
112,인천,2017-01-12,-.7,.3,4.6,51
112,인천,2017-01-13,-4.9,.4,4.6,52.6
112,인천,2017-01-14,-7.1,,6.7,37.4
112,인천,2017-01-15,-5.3,,4.1,41.1
112,인천,2017-01-16,-2.9,,2.3,44.6
112,인천,2017-01-17,-.7,,1.5,57.8
112,인천,2017-01-18,.9,0,2,70
112,인천,2017-01-19,-.9,,2.4,66.4
112,인천,2017-01-20,-3.7,4.4,5.3,71.1
112,인천,2017-01-21,-3.4,4.2,2.9,71.5
112,인천,2017-01-22,-7.2,,6.1,55.3
112,인천,2017-01-23,-7.9,,4,53.5
112,인천,2017-01-24,-5.9,,2.3,53.1
112,인천,2017-01-25,-3.8,,1.9,55.9
112,인천,2017-01-26,0,.5,4.1,72.4
112,인천,2017-01-27,-2.4,3.5,4.8,47.3
112,인천,2017-01-28,-1.6,,2.2,44.4
112,인천,2017-01-29,.7,7,2.8,77.1
112,인천,2017-01-30,-5,,4.8,60
112,인천,2017-01-31,-4.9,,2.4,45.5
112,인천,2017-02-01,-2.9,,4.5,50.3
112,인천,2017-02-02,-1.2,,3,56.4
112,인천,2017-02-03,2.5,,1.7,69.1
112,인천,2017-02-04,2,,1.6,76.5
112,인천,2017-02-05,1.4,1.7,3.5,80.6
112,인천,2017-02-06,-1.3,,5.7,53.6
112,인천,2017-02-07,-1.9,,3,46.9
112,인천,2017-02-08,-1.7,,2.9,52.3
112,인천,2017-02-09,-4.5,0,6.6,52.4
112,인천,2017-02-10,-5.6,0,6.6,48
112,인천,2017-02-11,-3.7,,4.8,49.9
112,인천,2017-02-12,-.8,,2.7,55.5
112,인천,2017-02-13,1.2,,2,61.6
112,인천,2017-02-14,.8,,3.3,53
112,인천,2017-02-15,2.1,,2.2,68
112,인천,2017-02-16,6.2,.2,3.9,68.6
112,인천,2017-02-17,.3,3.9,6.2,60.1
112,인천,2017-02-18,-1.6,,3.8,51.8
112,인천,2017-02-19,3,4.8,4.6,72.4
112,인천,2017-02-20,-1.7,.2,7.5,56.8
112,인천,2017-02-21,-1.3,,2.5,45.9
112,인천,2017-02-22,1.3,5.4,4,80.9
112,인천,2017-02-23,-1.1,,7,58.1
112,인천,2017-02-24,-.1,,3,55.5
112,인천,2017-02-25,2.9,,3,72.6
112,인천,2017-02-26,3.2,,3.3,60.8
112,인천,2017-02-27,3.7,,2.2,42
112,인천,2017-02-28,5.2,,2.6,47.8
112,인천,2017-03-01,5.3,8.1,2.9,64.9
112,인천,2017-03-02,1.5,.4,4.5,62.8
112,인천,2017-03-03,3.5,,3.1,67.1
112,인천,2017-03-04,5.3,,1.9,69.4
112,인천,2017-03-05,4.5,.4,2.1,83.9
112,인천,2017-03-06,.4,,6.2,48.5
112,인천,2017-03-07,-1.2,,5.6,47.4
112,인천,2017-03-08,.9,,4,57.9
112,인천,2017-03-09,3.9,,4.1,61.1
112,인천,2017-03-10,5,,2.4,48.8
112,인천,2017-03-11,6.7,,2,53.6
112,인천,2017-03-12,7.4,0,2.3,73.5
112,인천,2017-03-13,5.7,,4,57.3
112,인천,2017-03-14,5.6,,5,42.9
112,인천,2017-03-15,5.3,,3.1,45.1
112,인천,2017-03-16,5.3,,2.3,59.1
