지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
168,여수,2017-01-01,6.3,,1.9,63.1
168,여수,2017-01-02,9.4,0,3.3,57
168,여수,2017-01-03,7.2,,3.4,44.9
168,여수,2017-01-04,7.7,,2.1,45
168,여수,2017-01-05,8.2,0,5.9,52.8
168,여수,2017-01-06,7.8,0,5.6,54.6
168,여수,2017-01-07,7.4,1.4,5.1,59
168,여수,2017-01-08,9.2,3.4,5.3,62.3
168,여수,2017-01-09,6.3,,6.8,48.5
168,여수,2017-01-10,3.1,,7.3,44.1
168,여수,2017-01-11,.8,,6.1,34.1
168,여수,2017-01-12,3.6,,4.7,50.5
168,여수,2017-01-13,1.2,0,5,50.5
168,여수,2017-01-14,-2.2,,8.8,41.1
168,여수,2017-01-15,-1.8,,6.7,28.5
168,여수,2017-01-16,1.5,,4,29.6
168,여수,2017-01-17,3.4,,2.5,35.6
168,여수,2017-01-18,4.5,,3,39.9
168,여수,2017-01-19,3.9,,3.8,43.5
168,여수,2017-01-20,.5,.1,7.5,56.8
168,여수,2017-01-21,.6,0,5.3,51.9
168,여수,2017-01-22,-.6,0,6.8,50.3
168,여수,2017-01-23,-2.8,,7.5,42.4
168,여수,2017-01-24,-.9,,6.6,42.6
168,여수,2017-01-25,.3,,4.4,43.6
168,여수,2017-01-26,2,,2.9,43.1
168,여수,2017-01-27,4.7,0,5.6,39.9
168,여수,2017-01-28,4.5,,1.8,42.3
168,여수,2017-01-29,6.8,6.3,3.4,78
168,여수,2017-01-30,1.6,.3,8.1,47
168,여수,2017-01-31,1.3,,2.7,37.3
168,여수,2017-02-01,2,,7.1,31.3
168,여수,2017-02-02,2.9,,8,21.4
168,여수,2017-02-03,4.5,,2.7,41.8
168,여수,2017-02-04,7.2,5.6,2.1,52.3
168,여수,2017-02-05,6.5,3.3,5.5,71.4
168,여수,2017-02-06,2.9,,7.1,40.1
168,여수,2017-02-07,3.2,,3,43.1
168,여수,2017-02-08,3.7,0,4.1,44.8
168,여수,2017-02-09,-.3,0,9,43
168,여수,2017-02-10,-2.2,,8.6,43.4
168,여수,2017-02-11,-1,0,6.4,45.3
168,여수,2017-02-12,2.2,,7.1,41.4
168,여수,2017-02-13,4.2,,4.1,43
168,여수,2017-02-14,5.3,,3.9,38.6
168,여수,2017-02-15,4.8,,2.5,43.4
168,여수,2017-02-16,9,2.9,2.4,56.6
168,여수,2017-02-17,9.2,.2,6.7,46.1
168,여수,2017-02-18,2.3,,7.6,25
168,여수,2017-02-19,5.3,0,3,46.5
168,여수,2017-02-20,6.9,.2,8.3,45.6
168,여수,2017-02-21,3.7,,4,44.4
168,여수,2017-02-22,6,32.9,5.7,78.3
168,여수,2017-02-23,2.8,,9.2,45.5
168,여수,2017-02-24,2.2,,5.7,32.1
168,여수,2017-02-25,5.6,,4.4,40.9
168,여수,2017-02-26,6.2,,2.3,46.5
168,여수,2017-02-27,7.3,,3.1,51.9
168,여수,2017-02-28,7,,1.7,48.5
168,여수,2017-03-01,8.4,.8,1.9,54.1
168,여수,2017-03-02,4.8,0,8.6,47.5
168,여수,2017-03-03,5.5,,2.6,43.3
168,여수,2017-03-04,8.1,,1.9,52.9
168,여수,2017-03-05,8.4,,2.5,51
168,여수,2017-03-06,5,,7.1,29.3
168,여수,2017-03-07,1.7,,5.7,40.4
168,여수,2017-03-08,2.8,0,5.5,43.6
168,여수,2017-03-09,6.9,,6.2,35.8
168,여수,2017-03-10,8.7,,4.2,32.8
168,여수,2017-03-11,8.8,,2.1,35.3
168,여수,2017-03-12,10.4,,2.5,43.3
168,여수,2017-03-13,11.2,,2.9,39.5
168,여수,2017-03-14,8.7,,6.1,34.9
168,여수,2017-03-15,7.1,,2.7,38.4
168,여수,2017-03-16,8.8,,2.8,49.5
168,여수,2017-03-17,8.7,,2.2,39.5
168,여수,2017-03-18,9.6,,1.9,48
168,여수,2017-03-19,11.1,,2.5,48.6
168,여수,2017-03-20,9.7,1.6,6.1,63.1
168,여수,2017-03-21,9.5,1.5,6.3,46.5
168,여수,2017-03-22,8.4,,2.3,49
168,여수,2017-03-23,11.2,,2,39.4
168,여수,2017-03-24,10,0,3.4,55.3
168,여수,2017-03-25,8.1,1.3,4.3,71.8
168,여수,2017-03-26,8.2,,3.7,57.5
168,여수,2017-03-27,8.3,,5.2,43.6
168,여수,2017-03-28,9.6,0,3.9,48.9
168,여수,2017-03-29,8.2,4.6,4.3,77.9
168,여수,2017-03-30,12,,1.6,55.6
168,여수,2017-03-31,10.6,4.9,2.4,65.5
168,여수,2017-04-01,9.5,.4,2,67.6
168,여수,2017-04-02,10.8,,3.5,31.3
168,여수,2017-04-03,14.7,,4.5,22.5
168,여수,2017-04-04,14.4,,2.2,40.6
168,여수,2017-04-05,14.7,22.4,4.3,74.6
168,여수,2017-04-06,14.2,18.7,4.8,99.8
168,여수,2017-04-07,14.4,,1.9,84.4
168,여수,2017-04-08,16.2,,1.9,70.9
168,여수,2017-04-09,15,,3.5,65.6
168,여수,2017-04-10,13.4,0,6.9,56.1
168,여수,2017-04-11,13.6,10.3,5.1,66.8
168,여수,2017-04-12,14.7,,6,24.9
168,여수,2017-04-13,14,,4.4,48.1
168,여수,2017-04-14,14.9,0,4.8,68.1
168,여수,2017-04-15,16.7,.2,2.6,80.5
168,여수,2017-04-16,14.7,,1.1,94.3
168,여수,2017-04-17,15.6,7.3,2.9,92.8
168,여수,2017-04-18,14.7,,5.2,70
