瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
146,傈林,2019-01-01,-1.1,0,1.3,77.4
146,傈林,2019-01-02,-1.6,,1.4,71.6
146,傈林,2019-01-03,-1.6,,1.3,67
146,傈林,2019-01-04,-.9,,1,62.6
146,傈林,2019-01-05,.4,,1.8,54
146,傈林,2019-01-06,-1.4,,1.2,57.6
146,傈林,2019-01-07,-.4,,1.2,69.9
146,傈林,2019-01-08,-.3,,2.2,62.1
146,傈林,2019-01-09,-2.6,,1.4,41.9
146,傈林,2019-01-10,.2,0,.8,62.1
146,傈林,2019-01-11,3.2,,1.1,69.5
146,傈林,2019-01-12,3.9,3.9,1,87.6
146,傈林,2019-01-13,2.3,,1.1,80.3
146,傈林,2019-01-14,1.3,,1.1,81.6
146,傈林,2019-01-15,.8,0,2.5,77.5
146,傈林,2019-01-16,-2.9,,1.6,57.5
146,傈林,2019-01-17,.3,0,1.6,78.4
146,傈林,2019-01-18,1.5,,1.5,73.9
146,傈林,2019-01-19,3.6,1.3,1.2,72.9
146,傈林,2019-01-20,1.3,.3,3,68.9
146,傈林,2019-01-21,.7,,2,69.3
146,傈林,2019-01-22,2.6,,2,70.9
146,傈林,2019-01-23,3,,2.3,73.4
146,傈林,2019-01-24,1,,1.2,61.3
146,傈林,2019-01-25,-.4,,2.5,62.9
146,傈林,2019-01-26,-1.8,,2,54.4
146,傈林,2019-01-27,-.1,,1.6,63.6
146,傈林,2019-01-28,3.3,1.1,2.8,64
146,傈林,2019-01-29,.4,,1.2,57.8
146,傈林,2019-01-30,2.7,,1.2,60.9
146,傈林,2019-01-31,-.3,6.6,1.8,79.3
146,傈林,2019-02-01,-1.4,0,1.4,77.6
146,傈林,2019-02-02,3.7,.5,1.8,71.3
146,傈林,2019-02-03,7.6,20,2.9,98.6
146,傈林,2019-02-04,2.7,,1.9,56.5
146,傈林,2019-02-05,5.1,,1.3,48.3
146,傈林,2019-02-06,7.1,,1.5,65.8
146,傈林,2019-02-07,2,0,3,58.1
146,傈林,2019-02-08,-2.5,,1.9,46.9
146,傈林,2019-02-09,-2,,2.6,48.8
146,傈林,2019-02-10,-1.8,,1.5,46.4
146,傈林,2019-02-11,-1,,1.8,54
146,傈林,2019-02-12,.4,,1.5,62.5
146,傈林,2019-02-13,.8,,2.3,47.3
146,傈林,2019-02-14,1.3,,1.6,45.8
146,傈林,2019-02-15,1.6,0,1.7,68.6
146,傈林,2019-02-16,-.2,0,2.6,68.4
146,傈林,2019-02-17,-.3,,1.5,61.6
146,傈林,2019-02-18,1.9,.1,.9,61.1
146,傈林,2019-02-19,3,18.4,1.4,98.8
146,傈林,2019-02-20,2.8,.1,1.5,83.3
146,傈林,2019-02-21,2.6,,1.4,77.3
146,傈林,2019-02-22,3.9,,1.3,76.1
146,傈林,2019-02-23,6,,1.3,66.8
146,傈林,2019-02-24,7.3,,1.9,63.1
146,傈林,2019-02-25,5,,1.6,76.8
146,傈林,2019-02-26,5,,1.4,64.6
146,傈林,2019-02-27,6.6,0,1,72.5
146,傈林,2019-02-28,6.4,,1.5,81.3
146,傈林,2019-03-01,5.6,,1.5,75.1
146,傈林,2019-03-02,8.2,,1.1,59.5
