瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
184,力林,2018-01-01,6.4,,3.5,53.4
184,力林,2018-01-02,7,,2.2,53.5
184,力林,2018-01-03,5,,3.4,60.3
184,力林,2018-01-04,3.9,.6,2.6,70
184,力林,2018-01-05,5.1,4.2,4.1,70.5
184,力林,2018-01-06,6.2,,3.1,60.4
184,力林,2018-01-07,8.5,3.6,2.1,71.1
184,力林,2018-01-08,8.7,4.1,4.5,83.6
184,力林,2018-01-09,4.9,.4,7.5,58.1
184,力林,2018-01-10,2.4,3.4,8.9,71.9
184,力林,2018-01-11,0,8.3,7,81
184,力林,2018-01-12,.7,1.8,5.1,71.1
184,力林,2018-01-13,4.5,0,2.7,61.3
184,力林,2018-01-14,7.8,,1.8,61.6
184,力林,2018-01-15,10.8,,2.3,70.9
184,力林,2018-01-16,12.1,16.5,1.9,88.6
184,力林,2018-01-17,9.5,3.8,2.9,80.9
184,力林,2018-01-18,8.9,,2.8,66.6
184,力林,2018-01-19,6.8,,2,53.9
184,力林,2018-01-20,6.1,,1.9,52.9
184,力林,2018-01-21,8.5,,2.3,54.4
184,力林,2018-01-22,9,.7,4,66.1
184,力林,2018-01-23,2.1,.3,5.5,68.1
184,力林,2018-01-24,-1.2,4.5,5.2,73.4
184,力林,2018-01-25,-1.9,0,5.2,72
184,力林,2018-01-26,-1.3,.1,4.9,68.3
184,力林,2018-01-27,.9,,2.3,61.3
184,力林,2018-01-28,2.6,2,3.9,69.6
184,力林,2018-01-29,1.8,1.7,5.9,70.5
184,力林,2018-01-30,2.2,1.5,3.4,71.1
184,力林,2018-01-31,3.8,.5,2,65.9
184,力林,2018-02-01,4.5,0,3.9,55.3
184,力林,2018-02-02,3.8,,3.2,51
184,力林,2018-02-03,1.4,1.1,6.3,71.1
184,力林,2018-02-04,-.4,5.9,6.8,70.9
184,力林,2018-02-05,.2,3.5,6.3,74.4
184,力林,2018-02-06,-.6,5.7,5.9,74.9
184,力林,2018-02-07,.6,1.7,3.1,77.4
184,力林,2018-02-08,2.5,3.1,2,77.4
184,力林,2018-02-09,6,,2.1,63.3
184,力林,2018-02-10,5.8,2.2,3.7,66.4
184,力林,2018-02-11,2.5,.8,6.5,58.3
184,力林,2018-02-12,2.7,0,7.2,54
184,力林,2018-02-13,4.9,,4.2,42.3
184,力林,2018-02-14,9.8,,3.4,60
184,力林,2018-02-15,7.1,0,2.1,64.4
184,力林,2018-02-16,6.1,,2.6,54.8
184,力林,2018-02-17,4.4,,3.4,47.9
184,力林,2018-02-18,6.7,.9,1.9,56.1
184,力林,2018-02-19,8.3,2.1,2.2,65.5
184,力林,2018-02-20,8.4,,2.5,56.1
184,力林,2018-02-21,5.5,,3.1,44.8
184,力林,2018-02-22,5,,3.1,37.9
184,力林,2018-02-23,8.7,,3.2,56.8
184,力林,2018-02-24,9.4,,2.2,56.5
184,力林,2018-02-25,9.8,,2,60.9
184,力林,2018-02-26,8.1,,1.7,50.8
184,力林,2018-02-27,10.6,,2.5,55.8
184,力林,2018-02-28,11,59.6,5.6,83.4
184,力林,2018-03-01,6.8,,5.8,66.9
184,力林,2018-03-02,5.7,,1.9,62.1
184,力林,2018-03-03,12,,1.8,74.5
184,力林,2018-03-04,17.2,.8,2.7,78.3
184,力林,2018-03-05,10.4,3.9,3.9,93.3
184,力林,2018-03-06,9.6,,3.5,65.3
184,力林,2018-03-07,10,30.1,3.8,78.4
184,力林,2018-03-08,6.8,18.2,5.4,82.5
184,力林,2018-03-09,5.6,,2.8,69.3
184,力林,2018-03-10,8.1,,2.7,64.5
184,力林,2018-03-11,8.7,,1.8,67.9
184,力林,2018-03-12,11.2,,1.9,66.4
184,力林,2018-03-13,14.7,,2.1,52.9
184,力林,2018-03-14,16.9,,1.9,61.5
184,力林,2018-03-15,17.1,16,3.5,85.9
184,力林,2018-03-16,9.5,1.9,3.1,78.1
184,力林,2018-03-17,10,,3.6,64
184,力林,2018-03-18,15.2,3.1,2.2,73.1
184,力林,2018-03-19,12.6,8.7,3,95.3
184,力林,2018-03-20,8.3,14.1,6,80.3
184,力林,2018-03-21,5.4,21.2,4.7,85.6
184,力林,2018-03-22,7.3,0,3.4,70.6
184,力林,2018-03-23,8.6,,2.6,60.4
184,力林,2018-03-24,12.2,,2.8,64
184,力林,2018-03-25,13.2,,2.3,80
184,力林,2018-03-26,13.7,,1.6,63
184,力林,2018-03-27,14.8,,2,58.9
184,力林,2018-03-28,15.1,,1.9,67.8
184,力林,2018-03-29,15.6,,1.9,75.9
184,力林,2018-03-30,15.5,,3.7,69.3
184,力林,2018-03-31,17,,3,62.4
184,力林,2018-04-01,18,,2,66.5
184,力林,2018-04-02,18,,1.6,74.6
184,力林,2018-04-03,17.7,,1.7,79.6
184,力林,2018-04-04,17.6,.2,2.1,84.5
184,力林,2018-04-05,17.9,,3.3,81.5
184,力林,2018-04-06,11,20,5.7,70.6
184,力林,2018-04-07,7.8,0,7.6,49.9
184,力林,2018-04-08,12.5,,5.7,43.8
184,力林,2018-04-09,14.3,,3.3,57
184,力林,2018-04-10,18.8,,3.4,49
184,力林,2018-04-11,17.2,,3.8,68.5
184,力林,2018-04-12,17,,2.3,37.4
184,力林,2018-04-13,16.4,0,4.1,52.5
184,力林,2018-04-14,15.2,3.7,4.8,85.1
184,力林,2018-04-15,11.9,,4.2,63.8
184,力林,2018-04-16,12.2,,2,63
184,力林,2018-04-17,14.5,,2.6,75.8
184,力林,2018-04-18,13.6,,2.6,63.5
184,力林,2018-04-19,15.2,,2.2,45.5
184,力林,2018-04-20,16.6,,1.8,52.3
184,力林,2018-04-21,17.4,,1.7,61.1
184,力林,2018-04-22,20.4,5.2,1.6,78.3
184,力林,2018-04-23,18.5,41.8,1.7,96.3
184,力林,2018-04-24,14.7,38.7,2.7,96.8
184,力林,2018-04-25,14.6,1.7,2,78.1
184,力林,2018-04-26,15.5,,2.2,74.3
184,力林,2018-04-27,16.6,,3.4,69.1
184,力林,2018-04-28,16.4,,1.8,80.4
184,力林,2018-04-29,17.3,0,2,72.8
184,力林,2018-04-30,20.7,1.2,1.8,75.9
184,力林,2018-05-01,20.7,,1.6,81.6
184,力林,2018-05-02,17.6,.3,3.7,85.5
