瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
236,何咯,2020-01-01,-2.2,,.5,75.3
236,何咯,2020-01-02,-.5,,.3,86.4
236,何咯,2020-01-03,.8,,.5,81.6
236,何咯,2020-01-04,-.7,,.4,86.8
236,何咯,2020-01-05,.2,,.5,71.3
236,何咯,2020-01-06,2.8,19.6,1.9,91.3
236,何咯,2020-01-07,8.2,55.5,1.9,97.4
236,何咯,2020-01-08,4.5,2.2,2.8,85.6
236,何咯,2020-01-09,1.4,,1.2,71.9
236,何咯,2020-01-10,-.3,,.6,78
236,何咯,2020-01-11,1.4,,.8,72.6
236,何咯,2020-01-12,1.5,,.9,70.1
236,何咯,2020-01-13,.7,.1,1.4,65.6
236,何咯,2020-01-14,-.4,,.9,68.5
236,何咯,2020-01-15,-.9,,.9,71.8
236,何咯,2020-01-16,-.7,,.9,60.9
236,何咯,2020-01-17,-.2,,.8,58.8
236,何咯,2020-01-18,-.7,,.6,72
236,何咯,2020-01-19,1.9,,1.2,74.6
236,何咯,2020-01-20,2.5,,1.5,65.5
236,何咯,2020-01-21,-.7,,.7,57.8
236,何咯,2020-01-22,2.4,0,1.5,62.3
236,何咯,2020-01-23,6.3,0,1.5,56.6
236,何咯,2020-01-24,3.6,,.8,67.6
236,何咯,2020-01-25,3.6,,.3,80.9
236,何咯,2020-01-26,6.6,,1.5,68.6
236,何咯,2020-01-27,6,2.2,1.6,75.4
236,何咯,2020-01-28,6.6,,.9,75.8
236,何咯,2020-01-29,6.7,,1.2,62.1
236,何咯,2020-01-30,4.1,,.6,78.9
236,何咯,2020-01-31,1.8,,.8,80.5
236,何咯,2020-02-01,.1,,.4,84.6
236,何咯,2020-02-02,.1,,.5,79.8
236,何咯,2020-02-03,1.2,,1.3,63.5
236,何咯,2020-02-04,-.5,.6,.8,69.6
236,何咯,2020-02-05,-3.8,,2.1,51.3
236,何咯,2020-02-06,-5,,.8,48
236,何咯,2020-02-07,-1.6,,.8,66.3
236,何咯,2020-02-08,1.2,,1.5,59.8
236,何咯,2020-02-09,-1.3,,.7,71.3
236,何咯,2020-02-10,2.8,,.5,71.3
236,何咯,2020-02-11,5.1,,.6,59.8
236,何咯,2020-02-12,6.7,12.7,1.4,95.6
236,何咯,2020-02-13,6.7,,.8,91.6
236,何咯,2020-02-14,6.5,,.9,84
236,何咯,2020-02-15,8.3,1.2,.8,82.1
236,何咯,2020-02-16,.6,9.7,2.5,86
236,何咯,2020-02-17,-2.7,.9,2.2,77.4
236,何咯,2020-02-18,-1.5,,.9,66.4
236,何咯,2020-02-19,1.9,,.5,75.6
236,何咯,2020-02-20,4.3,,.5,79.9
236,何咯,2020-02-21,6.2,2.2,.8,82.3
236,何咯,2020-02-22,6,1.3,2.8,61.5
236,何咯,2020-02-23,1.9,,.8,66.9
236,何咯,2020-02-24,5.4,1.5,.5,69.4
236,何咯,2020-02-25,6.7,57.8,1.7,94.8
236,何咯,2020-02-26,7.3,,1.7,77
236,何咯,2020-02-27,4.7,,.7,79.9
236,何咯,2020-02-28,4.7,4.5,.5,94.8
236,何咯,2020-02-29,7.6,,1.1,80.3
236,何咯,2020-03-01,4.5,,.9,90.1
236,何咯,2020-03-02,5.3,,1.8,55.4
236,何咯,2020-03-03,6.1,,1.2,68
236,何咯,2020-03-04,3.5,0,2.6,63.4
236,何咯,2020-03-05,2.1,,1.1,60.8
236,何咯,2020-03-06,3.3,,.7,59.1
236,何咯,2020-03-07,5.3,,.6,68.5
236,何咯,2020-03-08,7,,.7,71
236,何咯,2020-03-09,8.5,1.3,.7,73.5
236,何咯,2020-03-10,6.4,4.3,1.7,83.5
236,何咯,2020-03-11,4,,1.7,53.9
236,何咯,2020-03-12,4.7,,1,64
236,何咯,2020-03-13,5.7,,1.5,54.1
236,何咯,2020-03-14,4.6,,1.5,57.4
236,何咯,2020-03-15,4.5,,2.5,59.1
236,何咯,2020-03-16,3.8,,1.3,57.8
236,何咯,2020-03-17,6.5,,1.2,78
236,何咯,2020-03-18,9.5,,1,65.6
236,何咯,2020-03-19,9.1,,3.6,58
236,何咯,2020-03-20,7.4,,1.4,55.1
236,何咯,2020-03-21,11.5,,1.2,69.9
236,何咯,2020-03-22,12,,1.7,52.4
236,何咯,2020-03-23,8.1,,1.3,62.3
236,何咯,2020-03-24,9,,.8,70.4
236,何咯,2020-03-25,11.6,,.7,59.1
236,何咯,2020-03-26,12.7,2.3,.8,83.8
236,何咯,2020-03-27,11.1,11.4,1.6,77
236,何咯,2020-03-28,6.9,,1.4,43
236,何咯,2020-03-29,7,,1,57.4
236,何咯,2020-03-30,9.8,,.8,58.6
236,何咯,2020-03-31,10.7,,.8,56
236,何咯,2020-04-01,9.9,,1.6,52.3
236,何咯,2020-04-02,8,,1,58.5
236,何咯,2020-04-03,8.4,,1.1,56.3
