瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
127,面林,2019-01-01,-4.2,,1.7,60.3
127,面林,2019-01-02,-6.6,,1.1,57.9
127,面林,2019-01-03,-6.5,,.8,54.9
127,面林,2019-01-04,-4.1,,.6,58.3
127,面林,2019-01-05,-2.8,,1.1,52.1
127,面林,2019-01-06,-4.9,,.9,51.8
127,面林,2019-01-07,-4.4,,1,62.8
127,面林,2019-01-08,-4.1,,2.1,50.9
127,面林,2019-01-09,-6.7,,.9,48.3
127,面林,2019-01-10,-2.4,,1.1,56.4
127,面林,2019-01-11,.8,,.9,63.3
127,面林,2019-01-12,1.8,,.8,61.8
127,面林,2019-01-13,-1.6,,.8,70.9
127,面林,2019-01-14,-2.7,,.7,77.3
127,面林,2019-01-15,-1.4,.1,2.4,65.9
127,面林,2019-01-16,-5.8,,1.6,51
127,面林,2019-01-17,-1.4,,1.7,50.8
127,面林,2019-01-18,-2.3,,1,57.3
127,面林,2019-01-19,.1,,.8,63.3
127,面林,2019-01-20,-.5,,2.7,45.6
127,面林,2019-01-21,-2.1,,1.5,54.3
127,面林,2019-01-22,-.2,,1.2,65
127,面林,2019-01-23,-.1,,1.6,59.8
127,面林,2019-01-24,-2.4,,1,45.6
127,面林,2019-01-25,-3.1,,1.9,44.6
127,面林,2019-01-26,-5,,1.6,43.3
127,面林,2019-01-27,-3.6,,.8,55.1
127,面林,2019-01-28,.2,4,2.4,55.5
127,面林,2019-01-29,-2.6,,1,50.1
127,面林,2019-01-30,0,,.9,51.9
127,面林,2019-01-31,-.8,,1.7,49.5
127,面林,2019-02-01,-4,,1.5,52.4
127,面林,2019-02-02,-1.1,,.8,66.9
127,面林,2019-02-03,3,16.4,1.3,93.8
127,面林,2019-02-04,.4,,2.1,50.8
127,面林,2019-02-05,.6,,.8,58
127,面林,2019-02-06,3.4,,.9,66
127,面林,2019-02-07,1.1,,2.9,48.1
127,面林,2019-02-08,-4.2,,1.2,36.9
127,面林,2019-02-09,-3.7,,2.3,32.9
127,面林,2019-02-10,-3.8,,1.1,41.9
127,面林,2019-02-11,-2.5,,2.1,38.1
127,面林,2019-02-12,-1.6,,1,50.4
127,面林,2019-02-13,-2.1,,1.1,41.8
127,面林,2019-02-14,-.6,,.8,54.6
127,面林,2019-02-15,.5,.2,1.4,64.8
127,面林,2019-02-16,-2.1,.1,2,61.4
127,面林,2019-02-17,-2.4,,1.1,54.6
127,面林,2019-02-18,-.3,,.6,55.5
127,面林,2019-02-19,.8,12.1,.8,90.8
127,面林,2019-02-20,1.8,,1.8,72.9
127,面林,2019-02-21,.4,,.7,76.4
127,面林,2019-02-22,1,,.7,73
127,面林,2019-02-23,4.1,,1.1,62.8
127,面林,2019-02-24,4.4,,1.1,62.4
127,面林,2019-02-25,4.1,,1,60.1
127,面林,2019-02-26,3.2,,.8,55.4
127,面林,2019-02-27,6.5,.2,.9,62.5
127,面林,2019-02-28,4.5,,1,64.5
127,面林,2019-03-01,4.3,,1,57.4
127,面林,2019-03-02,5.2,,.8,55.9
127,面林,2019-03-03,6.6,,.7,51.4
127,面林,2019-03-04,8,,.9,52.9
127,面林,2019-03-05,7,,.9,60.9
127,面林,2019-03-06,7.5,,1,59.3
127,面林,2019-03-07,5.7,.2,1.1,66.5
127,面林,2019-03-08,4.7,,1,54.5
127,面林,2019-03-09,5.3,,.8,49.6
127,面林,2019-03-10,7,,1.2,51.1
127,面林,2019-03-11,4.9,0,1.2,71
127,面林,2019-03-12,3.9,1.4,2.4,70.8
127,面林,2019-03-13,1.6,.6,2.7,45.9
127,面林,2019-03-14,3.8,,1.4,47.5
127,面林,2019-03-15,4.4,6.7,1.4,73.1
127,面林,2019-03-16,4.6,0,1.1,69.4
127,面林,2019-03-17,4.7,,1.4,60.3
127,面林,2019-03-18,5.3,,1,51.1
127,面林,2019-03-19,8.9,,.9,51.9
127,面林,2019-03-20,9.7,9,1.2,73.9
127,面林,2019-03-21,7.9,1.7,2.9,81.5
127,面林,2019-03-22,4,,2.6,53.9
127,面林,2019-03-23,1.1,6,1.2,71.6
127,面林,2019-03-24,3.5,,1.9,55.6
127,面林,2019-03-25,5.5,,1.3,64.9
127,面林,2019-03-26,8.7,,1.3,53.4
127,面林,2019-03-27,13.1,,2.7,52.4
127,面林,2019-03-28,11.2,,1.7,49
127,面林,2019-03-29,10.3,,1.4,40.4
127,面林,2019-03-30,5.1,1.9,2.5,72.5
127,面林,2019-03-31,3.6,.4,3.2,60
127,面林,2019-04-01,3.2,,2,48.8
127,面林,2019-04-02,5.1,,1.9,45.6
127,面林,2019-04-03,5.9,,1.8,43.3
127,面林,2019-04-04,7.9,,1.7,39.3
127,面林,2019-04-05,9.8,,2.1,40
127,面林,2019-04-06,9.3,,1,40.1
127,面林,2019-04-07,12.8,,.9,38.9
127,面林,2019-04-08,11.2,,2,33.5
127,面林,2019-04-09,9.2,22.8,3.6,45.8
